,id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity
0,7,Nghiêm Xuân Thành,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2015-09-14,1.6e-05,59025
1,31,Nguyễn Danh Lương,Phụ trách Công bố thông tin/Thành viên Hội đồng Quản trị/Phó Tổng Giám đốc,Phụ trách CBTT/TV HĐQT/Phó TGĐ,2025-05-13,6e-06,21612
2,32,Phùng Nguyễn Hải Yến,Kế toán trưởng,Kế toán trưởng,2025-05-16,5.1e-06,42339
3,6,Lê Thị Kim Nga,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,3.29e-06,8768
4,29,Nguyễn Thanh Tùng,Giám đốc khối,GĐ Khối,2025-01-24,2.7e-06,14933
5,2,Đào Hảo,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,2.3e-06,8253
6,10,Nguyễn Hòa Bình,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2015-09-14,2.1365e-06,5694
7,26,Nguyễn Thị Tâm,Thành viên Hội đồng Quản trị,TV HĐQT,2023-04-17,1.8318e-06,4882
8,14,Nguyễn Thu Hà,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,1.7095e-06,4556
9,5,Lê Thị Hoa,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,1.7e-06,6313
10,11,Nguyễn Phước Thanh,Thành viên Hội đồng Quản trị/Tổng Giám đốc,TV HĐQT/TGĐ,2015-09-14,1.526e-06,4067
11,3,Đinh Văn Mười,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,1.4634e-06,3900
12,18,Trần Trọng Độ,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,1.3133e-06,3500
13,13,Nguyễn Thị Hoa,Kế toán trưởng,Kế toán trưởng,2015-09-14,1.0131e-06,2700
14,20,Trương Lệ Hiền,Trưởng Ban kiểm soát,Trưởng BKS,2015-09-14,1e-06,5051
15,17,Phạm Thanh Hà,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,9.1e-07,3281
16,27,PHẠM QUANG DŨNG,Thành viên Hội đồng Quản trị,TV HĐQT,2023-12-28,8.8e-07,4943
17,15,Nguyễn Văn Tuân,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,8.273e-07,2205
18,12,Nguyễn Thị Dũng,Thành viên Hội đồng Quản trị/Thành viên Hội đồng Quản trị độc lập,TV HĐQT/Thành viên HĐQT độc lập,2015-09-14,8e-07,3105
19,21,Trương Thị Thúy Nga,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,6e-07,2147
20,4,Lê Đắc Cù,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,5.726e-07,1526
21,24,Yutaka Abe,Phó Tổng Giám đốc/Thành viên Hội đồng Quản trị,Phó TGĐ/TV HĐQT,2015-09-14,0.0,0
22,1,Đặng Thị Thùy,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.0,0
23,28,Lại Hữu Phước,Thành viên Ban kiểm soát,TV BKS,2024-08-01,0.0,2
24,9,Nguyễn Đăng Hồng,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
25,30,Đỗ Việt Hùng,Thành viên Hội đồng Quản trị,TV HĐQT,2025-01-24,0.0,0
26,8,Nguyễn Chí Thành,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.0,0
27,25,Eiji Sasaki,Phó Tổng Giám đốc,Phó TGĐ,2017-12-18,0.0,0
28,16,Phạm Huyền Anh,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
29,19,Trần Văn Tá,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
30,22,Vũ Thị Bích Vân,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.0,0
31,23,Vũ Thị Yến,Phó phòng Kế toán/Phụ trách Công bố thông tin,Phó phòng Kế toán/Phụ trách CBTT,2015-09-14,0.0,0
