,id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity
0,19,Phùng Nguyễn Hải Yến,Phụ trách Công bố thông tin/Phó Tổng Giám đốc,Phụ trách CBTT/Phó TGĐ,2025-05-16,5.1e-06,42339
1,10,Nguyễn Thanh Tùng,Phó Tổng Giám đốc,Phó TGĐ,2025-01-24,2.7e-06,14933
2,1,Đào Minh Tuấn,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,2e-06,5810
3,16,Nguyễn Mỹ Hào,Thành viên Hội đồng Quản trị,TV HĐQT,2025-03-07,1.9e-06,10566
4,9,Đỗ Thị Mai Hương,Thành viên Ban kiểm soát,TV BKS,2025-01-24,1.4e-06,7991
5,15,Lê Hoàng Tùng,Kế toán trưởng,Kế toán trưởng,2025-02-10,1.4e-06,7534
6,21,La Thị Hồng Minh,Thành viên Ban kiểm soát,TV BKS,2025-05-22,9e-07,4943
7,20,Nguyễn Thị Kim Oanh,Phó Tổng Giám đốc,Phó TGĐ,2025-05-22,9e-07,5000
8,6,PHẠM QUANG DŨNG,Tổng Giám đốc/Chủ tịch Hội đồng Quản trị,TGĐ/Chủ tịch HĐQT,2023-12-28,8.8e-07,4943
9,11,Nguyễn Mạnh Hùng,Thành viên Hội đồng Quản trị,TV HĐQT,2025-01-24,6e-07,3420
10,13,Đặng Hoài Đức,Phó Tổng Giám đốc,Phó TGĐ,2025-01-24,0.0,11
11,14,Trương Gia Bình,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-04,0.0,0
12,5,Phạm Mạnh Thắng,Phó Tổng Giám đốc,Phó TGĐ,2023-02-17,0.0,251
13,4,Phạm Anh Tuấn,Thành viên Hội đồng Quản trị,TV HĐQT,2022-07-27,0.0,0
14,17,Lê Quang Vinh,Phó Tổng Giám đốc,Phó TGĐ,2025-03-07,0.0,0
15,18,Shojiro Mizoguchi,Phó Tổng Giám đốc/Thành viên Hội đồng Quản trị,Phó TGĐ/TV HĐQT,2025-04-28,0.0,0
16,3,Thomas William Tobin,Giám đốc khối,GĐ Khối,2018-05-28,0.0,0
17,2,Eiji Sasaki,Thành viên Hội đồng Quản trị,TV HĐQT,2017-12-18,0.0,0
18,7,Lại Hữu Phước,Trưởng Ban kiểm soát,Trưởng BKS,2024-08-01,0.0,2
19,8,Đinh Thị Thái,Phó Tổng Giám đốc,Phó TGĐ,2025-01-24,0.0,147
20,12,Hồng Quang,Thành viên Hội đồng Quản trị,TV HĐQT,2025-01-24,0.0,2
