,id,sub_organ_code,ownership_percent,organ_name,type
0,23046695,TB,1.0,Ngân hàng Thương mại TNHH MTV Ngoại thương Công nghệ Số,công ty con
1,23046696,VCB198,0.7,Công ty TNHH Cao Ốc Vietcombank 198,công ty con
2,23046697,VCBL,1.0,Công ty TNHH MTV Cho Thuê Tài Chính Ngân Hàng Tmcp Ngoại Thương Việt Nam,công ty con
3,23046698,VCBLAO,1.0,Ngân Hàng TNHH MTV Ngoại Thương Việt Nam Tại Lào,công ty con
4,23046699,VCBR,1.0,Công Ty TNHH Một Thành Viên Kiều Hối Ngân Hàng Thương Mại Cổ Phần Ngoại Thương Việt Nam,công ty con
5,23046700,VCBS,1.0,Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,công ty con
6,23046701,VFHK,1.0,Công ty TNHH Tài Chính Việt Nam Tại Hồng Kông,công ty con
0,23046702,VCBB,0.52,Công Ty Liên Doanh Trách Nhiệm Hữu Hạn Vietcombank-bonday-benthanh,công ty liên kết
1,23046703,VCBF,0.51,Công ty TNHH Quản lý quỹ đầu tư chứng khoán Vietcombank,công ty liên kết
2,23046704,VCLI,0.45,Công ty TNHH Bảo hiểm FWD Việt Nam,công ty liên kết
