,id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity
0,14,Mai Kiều Liên,Thành viên Hội đồng Quản trị/Phụ trách Công bố thông tin/Tổng Giám đốc,TV HĐQT/Phụ trách CBTT/TGĐ,2025-04-01,0.0031,6400444
1,12,Nguyễn Thị Thanh Hòa,Giám đốc điều hành chuỗi cung ứng,GĐ Điều hành chuỗi cung ứng,2025-03-05,0.0005,1108184
2,13,Trần Minh Văn,Giám đốc điều hành sản xuất,GĐ Điều hành sản xuất,2025-03-05,0.0004,887236
3,6,Lê Thành Liêm,Giám đốc Tài chính/Thành viên Hội đồng Quản trị/Kế toán trưởng,GĐ Tài chính/TV HĐQT/Kế toán trưởng,2024-08-12,0.00023607,493381
4,3,Trịnh Quốc Dũng,Giám đốc điều hành Phát triển vùng nguyên vật liệu,GĐ Điều hành phát triển vùng nguyên liệu,2023-08-07,0.0001,241950
5,9,Bùi Thị Hương,Giám đốc Điều hành Nhân sự - Hành chính,GĐ Điều hành nhân sự - hành chính,2025-01-24,6.42e-05,134176
6,10,Nguyễn Quốc Khánh,Giám đốc Khối Nghiên cứu phát triển,GĐ Khối Nghiên cứu phát triển,2025-01-24,1.42e-05,29755
7,15,Lee Meng Tat,Thành viên Hội đồng Quản trị,TV HĐQT,2025-04-28,0.0,0
8,16,Hoàng Ngọc Thạch,Thành viên Hội đồng Quản trị,TV HĐQT,2025-04-28,0.0,0
9,1,Lê Thị Băng Tâm,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2015-09-14,0.0,0
10,17,Đặng Thị Thu Hà,Thành viên Hội đồng Quản trị,TV HĐQT,2025-05-06,0.0,0
11,2,Nguyễn Trung,Người phụ trách quản trị công ty,Người phụ trách quản trị công ty,2021-07-28,0.0,0
12,4,Đỗ Lê Hùng,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2024-07-31,0.0,0
13,5,Tiêu Yến Trinh,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2024-07-31,0.0,0
14,7,Alain Xavier Cany,Thành viên Hội đồng Quản trị,TV HĐQT,2025-01-24,0.0,0
15,8,Michael Chye Hin Fah,Thành viên Hội đồng Quản trị,TV HĐQT,2025-01-24,0.0,0
16,11,Nguyễn Quang Trí,Giám đốc Marketing,GĐ Marketing,2025-01-24,0.0,0
