,time,open,high,low,close,volume
0,2024-06-03,58.86,59.73,58.86,59.0,2111127
1,2024-06-04,59.47,59.67,59.06,59.33,1818442
2,2024-06-05,59.33,59.87,59.26,59.4,1886226
3,2024-06-06,59.47,60.0,59.4,59.53,1702865
4,2024-06-07,59.6,60.0,59.2,59.2,1131101
5,2024-06-10,59.47,59.67,58.8,58.86,2643949
6,2024-06-11,59.06,59.13,58.26,58.33,2256534
7,2024-06-12,58.46,59.67,58.19,59.33,2251490
8,2024-06-13,59.47,59.6,59.13,59.13,1603414
9,2024-06-14,59.2,59.6,58.53,58.53,2484887
10,2024-06-17,58.6,58.73,58.26,58.26,2295281
11,2024-06-18,58.53,59.2,58.26,58.26,1372946
12,2024-06-19,58.39,58.53,57.86,57.93,2176749
13,2024-06-20,57.93,57.93,57.26,57.53,2654038
14,2024-06-21,57.59,57.99,57.19,57.53,1809985
15,2024-06-24,57.53,58.46,57.19,57.19,2153682
16,2024-06-25,57.32,57.99,57.19,57.19,1567779
17,2024-06-26,57.46,57.73,56.99,56.99,1709970
18,2024-06-27,56.99,57.53,56.99,56.99,1425080
19,2024-06-28,57.53,57.53,56.86,56.99,1114085
20,2024-07-01,57.39,57.66,56.99,57.59,1180816
21,2024-07-02,57.99,59.4,57.66,59.0,2428337
22,2024-07-03,58.86,59.33,58.73,59.2,2252635
23,2024-07-04,59.26,60.0,58.86,58.86,3062719
24,2024-07-05,58.93,59.67,58.86,58.86,1849175
25,2024-07-08,58.86,59.33,58.33,58.33,1145562
26,2024-07-09,58.53,59.13,57.99,58.93,1551172
27,2024-07-10,59.06,59.67,58.86,59.26,1725458
28,2024-07-11,59.26,59.47,58.93,58.93,1446841
29,2024-07-12,59.0,59.26,58.6,58.6,1374637
30,2024-07-15,58.6,59.06,58.53,58.53,1174084
31,2024-07-16,58.6,59.26,58.6,58.8,1535446
32,2024-07-17,59.4,60.2,58.53,58.86,3365241
33,2024-07-18,59.06,59.4,58.8,58.86,1653687
34,2024-07-19,58.86,59.4,58.53,58.53,1325123
35,2024-07-22,58.53,59.06,58.39,58.66,1463116
36,2024-07-23,58.73,59.06,58.53,58.53,1412799
37,2024-07-24,58.46,58.93,58.46,58.53,1477891
38,2024-07-25,58.6,58.66,58.33,58.39,882334
39,2024-07-26,58.39,58.66,58.33,58.39,904427
40,2024-07-29,58.6,58.73,58.39,58.39,454233
41,2024-07-30,58.39,59.06,58.39,58.53,978889
42,2024-07-31,58.53,59.67,58.53,59.67,1865641
43,2024-08-01,59.73,61.14,59.67,60.67,4807705
44,2024-08-02,60.47,60.47,59.33,59.33,1512887
45,2024-08-05,59.2,59.2,58.13,58.13,3063084
46,2024-08-06,58.13,58.66,57.99,58.39,1654296
47,2024-08-07,58.46,58.66,58.19,58.66,714053
48,2024-08-08,58.66,58.66,58.33,58.39,962297
49,2024-08-09,58.46,59.06,58.46,58.66,1137871
50,2024-08-12,59.13,59.13,58.39,58.73,1061597
51,2024-08-13,58.6,59.87,58.6,59.87,1593947
52,2024-08-14,59.73,59.8,58.73,58.86,1494847
53,2024-08-15,58.86,59.4,58.6,58.6,922035
54,2024-08-16,58.86,59.47,58.86,58.93,1371799
55,2024-08-19,59.4,59.73,59.06,59.4,1656591
56,2024-08-20,59.47,60.74,59.47,60.74,3387268
57,2024-08-21,60.74,62.21,60.47,62.07,2751625
58,2024-08-22,62.14,62.34,61.61,61.81,1416616
59,2024-08-23,61.87,62.07,60.54,61.81,1078085
60,2024-08-26,61.61,61.94,61.27,61.54,1569224
61,2024-08-27,61.54,61.61,60.8,61.2,902760
62,2024-08-28,61.34,61.47,60.94,60.94,1032939
63,2024-08-29,60.87,61.81,60.87,61.2,1497431
64,2024-08-30,61.2,61.74,61.2,61.34,1671053
65,2024-09-04,60.94,60.94,60.4,60.87,1014236
66,2024-09-05,60.6,60.94,60.27,60.27,1185511
67,2024-09-06,60.33,60.74,60.07,60.33,785854
68,2024-09-09,60.27,60.33,59.67,60.33,703748
69,2024-09-10,60.27,60.33,59.53,59.53,1193581
70,2024-09-11,59.26,59.53,58.86,59.13,1029054
71,2024-09-12,59.2,60.27,59.13,59.87,1610394
72,2024-09-13,60.07,60.33,59.6,60.13,1625774
73,2024-09-16,59.93,60.2,59.4,59.47,728926
74,2024-09-17,59.53,60.54,59.26,60.54,971859
75,2024-09-18,60.6,61.47,60.0,60.87,1722387
76,2024-09-19,60.87,61.34,60.8,61.2,1346904
77,2024-09-20,61.41,61.54,60.6,60.6,2181722
78,2024-09-23,61.07,61.27,60.8,60.8,697895
79,2024-09-24,60.8,61.2,60.8,61.0,523790
80,2024-09-25,61.2,62.21,61.0,62.07,2604508
81,2024-09-26,62.14,62.74,61.87,61.87,1820054
82,2024-09-27,61.87,62.61,61.87,61.87,1073168
83,2024-09-30,61.87,61.87,61.54,61.54,1278350
84,2024-10-01,61.74,62.48,61.54,61.54,1725848
85,2024-10-02,61.74,62.01,61.41,62.01,1380621
86,2024-10-03,61.94,62.81,61.81,61.94,1700784
87,2024-10-04,61.87,62.07,61.74,61.74,860495
88,2024-10-07,61.74,61.87,61.41,61.54,611894
89,2024-10-08,61.54,61.54,60.87,61.2,1124515
90,2024-10-09,61.07,61.41,60.8,60.87,2176865
91,2024-10-10,61.74,62.21,61.0,61.47,1326569
92,2024-10-11,61.47,61.47,61.0,61.2,1084336
93,2024-10-14,61.67,61.67,61.07,61.14,931995
94,2024-10-15,61.07,61.61,61.07,61.14,1431969
95,2024-10-16,61.14,61.41,61.07,61.2,1293521
96,2024-10-17,61.54,61.74,61.34,61.67,1286287
97,2024-10-18,62.01,62.27,61.54,61.81,1164056
98,2024-10-21,61.87,62.41,61.54,61.54,1425147
