,time,open,high,low,close,volume
0,2024-06-03,1272.37,1284.48,1271.65,1280.0,1046924676
1,2024-06-04,1286.14,1289.31,1281.98,1283.52,935848681
2,2024-06-05,1284.36,1293.93,1284.35,1284.35,925054928
3,2024-06-06,1288.79,1292.02,1278.4,1283.56,893066672
4,2024-06-07,1284.99,1293.03,1283.13,1287.58,698283332
5,2024-06-10,1292.89,1297.39,1287.44,1290.67,858651954
6,2024-06-11,1295.04,1296.41,1279.47,1284.41,993342917
7,2024-06-12,1285.2,1301.35,1281.71,1300.19,895254667
8,2024-06-13,1305.69,1306.01,1297.6,1301.51,891331399
9,2024-06-14,1303.37,1305.02,1279.91,1279.91,1110637093
10,2024-06-17,1281.85,1283.1,1272.54,1274.77,900555134
11,2024-06-18,1280.29,1286.52,1278.38,1279.5,805289430
12,2024-06-19,1279.5,1284.14,1270.66,1279.79,1004875853
13,2024-06-20,1280.98,1286.54,1273.54,1282.3,932545131
14,2024-06-21,1284.99,1288.06,1279.44,1282.02,834751762
15,2024-06-24,1281.19,1284.84,1252.66,1254.12,1247101984
16,2024-06-25,1256.11,1260.07,1250.25,1256.56,835303407
17,2024-06-26,1258.42,1262.67,1247.55,1261.24,878371266
18,2024-06-27,1261.24,1262.49,1255.12,1259.09,596988499
19,2024-06-28,1260.77,1262.61,1240.15,1245.32,840428178
20,2024-07-01,1245.22,1254.56,1240.07,1254.56,487191100
21,2024-07-02,1258.96,1270.47,1257.93,1269.79,528470005
22,2024-07-03,1269.96,1278.14,1268.23,1276.85,589504712
23,2024-07-04,1279.12,1283.13,1274.58,1279.89,523462424
24,2024-07-05,1279.89,1284.98,1276.93,1283.04,616503474
25,2024-07-08,1285.79,1287.14,1277.68,1283.56,766898184
26,2024-07-09,1286.7,1294.15,1283.62,1293.71,821808017
27,2024-07-10,1295.78,1297.96,1285.94,1285.94,751002251
28,2024-07-11,1291.17,1293.32,1283.8,1283.8,697233094
29,2024-07-12,1284.57,1288.67,1277.16,1280.75,606308137
30,2024-07-15,1281.0,1286.37,1276.27,1279.82,573511101
31,2024-07-16,1280.64,1291.47,1279.37,1281.18,684257163
32,2024-07-17,1287.48,1290.76,1256.42,1268.66,1225383052
33,2024-07-18,1271.15,1274.67,1256.21,1274.44,739044489
34,2024-07-19,1274.44,1279.94,1260.68,1264.78,791804100
35,2024-07-22,1264.78,1267.43,1245.02,1254.64,923629363
36,2024-07-23,1256.36,1258.74,1231.81,1231.81,728380946
37,2024-07-24,1226.06,1242.4,1218.65,1238.47,740263375
38,2024-07-25,1232.92,1235.67,1226.2,1233.19,484409425
39,2024-07-26,1235.08,1242.11,1234.05,1242.11,458792190
40,2024-07-29,1245.91,1249.68,1243.08,1246.6,496865207
41,2024-07-30,1246.6,1248.73,1236.97,1245.06,653073299
42,2024-07-31,1246.7,1255.77,1246.3,1251.51,748846724
43,2024-08-01,1251.51,1257.85,1222.51,1226.96,897261200
44,2024-08-02,1222.35,1236.6,1209.77,1236.6,696662777
45,2024-08-05,1236.6,1236.6,1184.53,1188.07,1038092780
46,2024-08-06,1198.53,1213.35,1186.74,1210.28,688836957
47,2024-08-07,1210.28,1217.79,1205.11,1215.88,623845094
48,2024-08-08,1211.83,1219.97,1202.58,1208.32,758833010
49,2024-08-09,1208.32,1225.02,1208.32,1223.64,586759414
50,2024-08-12,1223.64,1231.46,1221.16,1230.28,551151486
51,2024-08-13,1229.81,1231.55,1223.01,1230.42,539116428
52,2024-08-14,1230.42,1236.51,1228.93,1230.36,507177627
53,2024-08-15,1230.2,1231.69,1222.28,1223.56,497056231
54,2024-08-16,1225.73,1253.24,1225.73,1252.23,965064150
55,2024-08-19,1252.23,1263.84,1252.23,1261.62,698632210
56,2024-08-20,1261.62,1275.95,1261.62,1272.55,810158292
57,2024-08-21,1272.05,1284.05,1268.91,1284.05,836416946
58,2024-08-22,1284.05,1288.42,1280.42,1282.78,687364524
59,2024-08-23,1282.78,1287.43,1276.43,1285.32,724871854
60,2024-08-26,1287.89,1290.45,1278.72,1280.02,775470385
61,2024-08-27,1280.02,1282.92,1274.7,1280.56,660799355
62,2024-08-28,1283.6,1285.72,1276.9,1281.44,717617522
63,2024-08-29,1281.05,1288.2,1280.24,1281.47,634088620
64,2024-08-30,1283.16,1286.84,1282.58,1283.87,571596260
65,2024-09-04,1273.86,1277.27,1268.43,1275.8,648409343
66,2024-09-05,1276.46,1282.21,1266.05,1268.21,665625986
67,2024-09-06,1268.22,1274.44,1262.94,1273.96,637094418
68,2024-09-09,1273.96,1273.96,1262.97,1267.73,497552945
69,2024-09-10,1270.31,1271.83,1252.22,1255.23,690102153
70,2024-09-11,1253.07,1256.86,1244.79,1253.27,583746472
71,2024-09-12,1253.27,1260.93,1253.27,1256.35,433675900
72,2024-09-13,1253.69,1254.24,1248.78,1251.71,482055936
73,2024-09-16,1251.0,1255.42,1239.26,1239.26,608012444
74,2024-09-17,1239.99,1258.95,1238.69,1258.95,632194532
75,2024-09-18,1258.95,1271.77,1257.93,1264.9,799783535
76,2024-09-19,1268.28,1271.27,1264.82,1271.27,607580549
77,2024-09-20,1271.27,1283.3,1271.27,1272.04,898259995
78,2024-09-23,1275.15,1276.99,1267.87,1268.48,564217395
79,2024-09-24,1268.48,1276.99,1266.68,1276.99,817535117
80,2024-09-25,1283.04,1288.44,1280.47,1287.48,992827530
81,2024-09-26,1290.03,1298.71,1289.15,1291.49,956803250
82,2024-09-27,1295.03,1300.31,1287.21,1290.92,950804402
83,2024-09-30,1290.94,1292.03,1283.92,1287.94,748397879
84,2024-10-01,1287.94,1302.22,1287.94,1292.2,982286319
85,2024-10-02,1289.5,1293.69,1285.14,1287.84,771123993
86,2024-10-03,1288.64,1299.36,1276.51,1278.1,1043697915
87,2024-10-04,1278.9,1279.33,1270.6,1270.6,610071050
88,2024-10-07,1275.82,1278.61,1264.65,1269.93,542585281
89,2024-10-08,1271.82,1275.82,1266.94,1271.98,678704686
90,2024-10-09,1273.96,1283.01,1273.04,1281.85,676888068
91,2024-10-10,1286.73,1294.33,1284.97,1286.36,720089936
92,2024-10-11,1288.11,1289.37,1283.56,1288.39,531739469
93,2024-10-14,1289.21,1297.67,1286.13,1286.34,795706807
