,ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period
0,FPT,2025,1,3024693510849,644023121646,85128981266,-71839057689,-490145755006,152389538333,3344250339399,-595412339418,-248648680346,-3168677797967,-205624354170,-161803237457,-1286964186262,0,-184023466180,-2506903722401,-2607427905351,3212123070,-10159337998571,8175498984215,-94356673179,5739731680,279282736376,-4397389001760,0,0,12175546656648,-7902260870560,-230583912,-9557000,4273045645176,-2631247078985,9315440438884,71451854353,6755645214252
1,FPT,2024,4,2958495178069,643307118661,869017513957,-70305066169,-510810581685,134854268998,4024558431831,422213671904,203736468281,1178663906552,-179916896052,-124205428778,-114629531066,0,-13864424110,5396556198562,-838077306200,697620442,-12927219472332,10606724400366,-267882879016,48102486048,274299454911,-3103355695781,106211170000,0,5780557256676,-5398194818783,-222686386,-1469515337775,-981164416268,1312036086513,7935632407357,67771945014,9315440438884
2,FPT,2024,3,2908620633374,644267304242,184625096550,181991482518,-456702528472,128825950601,3591627938813,-1241612260855,-173093145210,1662964903692,-166500663328,-198428414709,-228190332417,0,-10823229000,3235944796986,-876954143250,1616251625,-8247959851394,8725918508280,-94349648464,0,364420147044,-127308736159,57131819874,0,7449918727586,-9459849670403,-1400699807,-18119086577,-1972318909327,1136317151500,6836262549195,-36947293338,7935632407357
3,FPT,2024,2,2668968551824,630349712236,14203632656,-42817780646,-419955973144,150125422101,3000873565027,-926810872792,-24269860464,2031571606019,19707673468,-124408944051,-233770928124,0,-14014690585,3728877548498,-912958599267,1618261988,-11804030293743,10099852425500,-10808869438,0,607154928052,-2019172146908,0,0,7228633945893,-7172714473158,-336397420,-1269151045384,-1213567970069,496137431521,6341457504996,-1332387322,6836262549195
4,FPT,2024,1,2533582054552,617374340526,81105147752,-22556832506,-337553397592,137833720086,3009785032818,-167453550762,-271641024449,-1997629152574,-67254616445,-160111959538,-633330715962,0,-369965368266,-657601355178,-647322276985,10295249160,-8977359495900,6851263040484,-733152087882,0,284299976870,-3211975594253,0,0,10487172776046,-7982467720579,-345563252,-535074322385,1969285169830,-1900291779601,8279156683221,-37407398624,6341457504996
5,FPT,2023,4,2435092799591,676678338463,470735400917,-68387251886,-436657963650,206644073232,3284105396667,-60812532941,171483828380,1089883462715,86456302249,-320269511758,-266834360511,0,-8949467333,3975063117468,-936419359950,9526779053,-7266476702593,10829081604630,-1053326490167,0,649966271040,2232352102013,0,0,7596496990331,-12719909236528,-357879371,-1857559615,-5125627685183,1081787534298,7153625069795,43744079128,8279156683221
6,FPT,2023,3,2429150459859,557527595017,15169771232,126189249999,-544698633183,265654864395,2848993307319,-926271125556,282384093843,1971966230913,-46580704009,-161649214270,-255133912886,0,-9735692245,3703972983109,-1123052126580,7657615939,-5579325976926,6413233166862,-260888050990,94939906000,344023912939,-103411552756,0,0,8360601367622,-8696647987147,-294707124,-2371938249525,-2708279576174,892281854179,6236475101406,24868114210,7153625069795
7,FPT,2023,2,2218132633347,542326870002,27037979804,-100962353080,-388369753500,212364005360,2510529381933,118119344163,57442490330,946527284360,10659492350,-160991654715,-162489287440,0,-52026419984,3267770630997,-1295411927462,769674106,-13958940271643,7357672039717,-131577791087,0,910563613381,-7116924662988,73050500000,0,11615919717863,-4450236364211,-27228980554,-377874873800,6833629999298,2984475967307,3289424451229,-37425317130,6236475101406
8,FPT,2023,1,2120643647098,510016474629,127203042533,9089996756,-640246263497,147985668274,2274692565793,-149759558922,-115149297662,-2621858951796,-117502927576,-189127995202,-286845937469,0,-221143116021,-1426695218855,-623674682456,11586480653,-6731446119194,5858264271833,-306515795863,0,232671727970,-1559114117057,0,0,6698228161444,-6685088864823,-2288208062,-178957765195,-168106676636,-3153916012548,6440177174322,3163289455,3289424451229
9,FPT,2022,4,1989028630914,500029827304,616541583535,58787739060,-526082534268,156583283497,2794888530042,-1106673777230,175395225847,1195278491834,-205593299191,-199132300872,-580903064164,0,-74628727662,1998631078604,-1242589310752,437966142,-7549708156781,15004802557968,-121688535896,28200047000,584541046103,6703995613784,7181600000,0,2888553449095,-8884259572642,-2464679951,-397495900,-5991386699398,2711239992990,3737291803926,-8354622648,6440177174268
10,FPT,2022,3,2028024819924,455112193671,181566912077,52094188065,-497004314547,166542329315,2386336128505,-750073714243,10707622080,1743590766874,-169726753340,-148610771875,-243651636637,0,-9686929000,2818884712364,-747831923421,484495775,-7206028064096,8458326041070,-273881675684,28200047000,271477931470,530746852114,0,0,6165244903885,-9702286221087,-3090184755,-1274523335350,-4814654837307,-1465023272829,5219950154604,-17635077849,3737291803926
11,FPT,2022,2,1857844626387,447956576173,-28165541725,-75830118684,-446027776455,176780202333,1932557968029,169999528624,-358199189918,793812469121,-86105846762,-164709307828,-205902901477,0,-46154386014,2035298333775,-710980983387,3020594474,-4839732516607,4992708365166,-149236241944,0,709154444759,4933662461,62123329275,0,9013536398007,-9756141831889,-2476540117,-944460727426,-1627419372150,412812624086,4825840656865,-18703126347,5219950154604
12,FPT,2022,1,1779047846680,430035197980,89399909694,-27398961364,-540253007882,145819741163,1876650726271,-408473574946,-325706369017,-2214552976580,-172525514290,-129336588963,-191388167584,0,-273166933002,-1838499398111,-485430154004,1718973637,-13388405350671,12213279082524,-249624051,0,216215570169,-1442871502396,7723760000,0,10052894233746,-7397367323294,-344740601,-2753237319,2660152692532,-621218207975,5417845293242,29213571598,4825840656865
13,FPT,2021,4,1760402225467,458158012704,39796663769,-19060227915,-585657291168,138051289995,1791690672852,-419795810552,452334064188,1782555834477,-168065936985,-122942983590,-423297798061,0,41789101404,2934267143733,-890243073814,680069381,-13164712447507,8715246105016,-135019453347,0,284288374708,-5189760425563,0,0,10301887489625,-7885184788039,-625519839,-185329827275,2230747354472,-24745927358,5446784083688,-4192882283,5417845274047
14,FPT,2021,3,1638572771884,412677697690,92616498281,11948579368,-400706720285,120148949616,1875257776554,72551729611,-99660954755,120823333955,-37801580690,-129236691013,-213582047269,0,35364915,1588386931308,-600290303392,751381248,-8303095176592,7846066786719,-31155979863,420000000,264496492572,-822806799308,29140000000,0,8712779094344,-8114218024190,-239954966,-908452811825,-280991696637,484588435363,4978881337221,-16685688896,5446784083688
15,FPT,2021,2,1539464518474,386729793605,146040451868,21240184423,-378420396991,124530447801,1839584999180,-627168722951,-215346281347,1454852031824,-101276360915,-119187250128,-114248828074,0,-15312816407,2101896771182,-810212916667,796437839,-12923503210310,11028696617740,63815003753,0,476788572547,-2163619495098,58471404675,0,7015372275735,-6306379454143,-220037146,-862498108050,-95253918929,-156976642845,5162685900519,-26827920453,4978881337221
