,ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investment in joint ventures,Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Difference upon Assets Revaluation,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS
0,VCB,2025,1,2109260616000000,13713225000000,28020997000000,410587576000000,8417843000000,8448472000000,-30629000000,0,1433896493000000,1466390536000000,-32494043000000,176979243000000,108816448000000,68407949000000,-245154000000,2268608000000,0,814686000000,1528922000000,-75000000000,8015849000000,5494709000000,2521140000000,27360782000000,2109260616000000,1904318782000000,125298467000000,222764271000000,1509113389000000,306420000000,2000000,14165059000000,32671174000000,204941834000000,89361977000000,37052974000000,-951532000000,0,79376463000000,0,83556751000000,809837000000,101952000000
1,VCB,2024,4,2085873522000000,14268064000000,49340493000000,389951898000000,4876237000000,4908527000000,-32290000000,1314434000000,1418015724000000,1449198899000000,-31183175000000,167383349000000,86799901000000,80829540000000,-246092000000,2228098000000,0,774176000000,1528922000000,-75000000000,8092877000000,5530579000000,2562298000000,30402348000000,2085873522000000,1889664354000000,78237337000000,234533958000000,1514664850000000,0,529000000,24125059000000,38102621000000,196209168000000,61696139000000,37052974000000,-968292000000,0,98332086000000,0,55890913000000,809837000000,96261000000
2,VCB,2024,3,1932361908000000,13157642000000,13749051000000,316566672000000,4146191000000,4169191000000,-23000000000,0,1366088234000000,1401151675000000,-35063441000000,170417002000000,83014181000000,87654538000000,-251717000000,2119005000000,0,732508000000,1528922000000,-142425000000,8026692000000,5467042000000,2559650000000,38091419000000,1932361908000000,1742064907000000,36293273000000,217260367000000,1430071020000000,116988000000,2000000,26901267000000,31421990000000,190297001000000,61696139000000,27453485000000,-1031752000000,0,102068366000000,0,55890913000000,809837000000,110763000000
3,VCB,2024,2,1905638840000000,12950279000000,35735832000000,316589542000000,2432382000000,2457691000000,-25309000000,510955000000,1334761763000000,1369645310000000,-34883547000000,166831595000000,75795936000000,91200503000000,-164844000000,2086502000000,0,700005000000,1528922000000,-142425000000,7716515000000,5170802000000,2545713000000,26023475000000,1905638840000000,1723936055000000,66987719000000,218637742000000,1374683432000000,0,6000000,26901433000000,36725723000000,181702785000000,61696139000000,27453885000000,-950182000000,0,93397205000000,0,55890913000000,809837000000,105738000000
4,VCB,2024,1,1773713584000000,12915997000000,37836619000000,273301211000000,2936121000000,2956813000000,-20692000000,0,1235587240000000,1266477925000000,-30890685000000,174371785000000,91847588000000,82689041000000,-164844000000,2256391000000,0,869671000000,1529145000000,-142425000000,7588707000000,5046502000000,2542205000000,26919513000000,1773713584000000,1600099458000000,4140563000000,171488381000000,1347325611000000,91370000000,1000000,29904958000000,47148574000000,173614126000000,61696139000000,27447103000000,-960392000000,0,85330720000000,0,55890913000000,809837000000,100556000000
5,VCB,2023,4,1839223339000000,14504849000000,58104503000000,335616377000000,2495408000000,2511395000000,-15987000000,0,1241675333000000,1270359018000000,-28683685000000,145780067000000,67882480000000,78009747000000,-112160000000,2224945000000,0,838225000000,1529145000000,-142425000000,7708181000000,5115612000000,2592569000000,31113676000000,1839223339000000,1670680015000000,1670837000000,213841980000000,1395694611000000,117752000000,365000000,19912623000000,39441847000000,168543324000000,61696139000000,22562445000000,-983237000000,0,85173987000000,0,55890913000000,809837000000,93990000000
6,VCB,2023,3,1731305572000000,13913670000000,29312980000000,320952135000000,1735874000000,1754272000000,-18398000000,0,1150958460000000,1189830550000000,-38872090000000,178723851000000,102650493000000,76486963000000,-413605000000,2205920000000,0,794774000000,1529145000000,-117999000000,7441794000000,4812476000000,2629318000000,26060888000000,1731305572000000,1572062054000000,2517462000000,160234123000000,1349007010000000,899053000000,725000000,15277866000000,44125815000000,159243518000000,61696139000000,22562989000000,-934636000000,0,75814366000000,0,55890913000000,809837000000,104660000000
7,VCB,2023,2,1704273133000000,16134106000000,56430924000000,286406768000000,1375964000000,1394711000000,-18747000000,217428000000,1139981404000000,1177728457000000,-37747053000000,156871470000000,65672102000000,91277142000000,-77774000000,2248021000000,0,836875000000,1529145000000,-117999000000,7598470000000,4918188000000,2680282000000,37008578000000,1704273133000000,1552272005000000,2270345000000,160661447000000,1326853836000000,0,1088000000,16323830000000,46161459000000,152001128000000,53130392000000,22564054000000,-886284000000,0,77094650000000,0,47325166000000,809837000000,98316000000
8,VCB,2023,1,1846431290000000,15537950000000,139256635000000,334747844000000,1595430000000,1618113000000,-22683000000,224625000000,1142187065000000,1174080964000000,-31893899000000,174526186000000,77663390000000,96941064000000,-78268000000,2221085000000,0,809939000000,1529145000000,-117999000000,7732058000000,5015683000000,2716375000000,28402412000000,1846431290000000,1701772932000000,62167768000000,255334468000000,1281487916000000,0,2186000000,27337890000000,75442704000000,144658358000000,53130392000000,22556829000000,-842553000000,0,69719946000000,0,47325166000000,809837000000,93744000000
9,VCB,2022,4,1814188209000000,18348519000000,92557809000000,313591813000000,1499687000000,1543575000000,-43888000000,156515000000,1120286831000000,1145066250000000,-24779419000000,196171212000000,100739669000000,95513376000000,-81833000000,2193516000000,0,782370000000,1529145000000,-117999000000,7985401000000,5170083000000,2815318000000,61396906000000,1814188209000000,1676199767000000,67314816000000,232510850000000,1243468472000000,0,3298000000,25337894000000,107564437000000,137988442000000,53130392000000,18133039000000,-863071000000,0,67499703000000,0,47325166000000,809837000000,88379000000
