,ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period
0,VNM,2025,1,1951296195523,511791212722,2485756955,4698502109,0,-343185308883,75155207673,0,2263061347306,915922733863,-1409385906048,-429866370896,-61949344633,-58880104706,-931863109189,0,-411754049754,-124714804057,-417018396950,25697543325,0,774829727404,0,983316000,157981771666,542473961445,0,0,4902420919300,-3963677101750,-1044977722500,-106233904950,311525252438,2225943732075,555332113,2538024316626
1,VNM,2024,4,2643368770905,502861179798,18671148659,-8934928035,0,-46714920102,66109861870,0,2934405659183,-534613780488,285415987686,-329849561692,54380811447,-79577377555,-903017091931,0,-131521295692,1295623350958,-381309452011,29902760669,2667539526912,0,0,9270000000,366050616797,2691453452367,0,0,6973203593000,-6160349023505,-5196551452950,-4383696883455,-396620080130,2616234711174,6329101031,2225943732075
2,VNM,2024,3,2941801640478,563849144337,4509743614,3348586438,0,-385090432461,62624826693,0,3279156925716,502122753268,286105749551,305903634499,1935649987,-37626107253,6908783596,0,-180167324440,4164340064924,-392175886355,30627539290,-3434575257325,0,0,26434764000,550444893405,-3219243946985,0,0,2575708393458,-2093292902775,0,482415490683,1427511608622,1198562887528,-9839784976,2616234711174
3,VNM,2024,2,3308642928230,523825243110,2975914691,-5431153785,0,-344871047097,64294446778,0,3640893340416,-386731248915,137207411891,357463397480,90310558794,-80643224421,-384854168143,0,-55221142079,3318424925023,-589564090578,30356023115,-2852987065500,-34235481165,0,0,262540916333,-3183889697795,46207000000,0,5106918716760,-3967402455216,-1918097497500,-732374235956,-597839008728,1788254863348,8147032908,1198562887528
4,VNM,2024,1,2705840401722,504624077696,1299112526,-2331136075,0,-344903447103,86395425954,0,3012309463526,751974551131,-762680286964,-521637847835,-55379919602,-138840952227,-846730006438,0,-531465803150,907549198441,-378452282107,22762588100,0,34235481165,0,0,294041766712,-27412446130,676200000000,0,2764598729970,-4403425616970,-1044977722500,-2007604609500,-1127467857189,2912027359925,3695360612,1788254863348
5,VNM,2023,4,2852064600379,763406685584,17348002686,3572601291,0,-544852427188,96231603161,0,3208238846296,-764132499014,-578146961187,-442381898850,12023053003,-58107360372,-835119449240,0,-57098048554,485275682082,-519884863780,28701388834,-575419143856,0,0,10570000000,495280136848,-560752481954,-192872992,0,3046045712825,-1746367168668,-5190521652450,-3891035981285,-3966512781157,6875567986039,2972155043,2912027359925
6,VNM,2023,3,3075789821151,491605000895,381848059,2940062682,0,-414801393695,79600679532,0,3310908712134,300186241796,516836588561,392228055999,24881897683,-77085630938,-307037904564,0,-218978665662,3941939295009,-191415880964,27787128715,187826012209,0,-23894832735,0,463272969854,463575397079,151879882000,0,1011758029279,-279164172658,-135910000,884337828621,5289852520709,1582506692207,3208773123,6875567986039
7,VNM,2023,2,2727998544003,515807377104,4716037403,11071666376,0,-373959695591,95970637757,0,3069899179578,662820622520,291256666371,-521773785211,23859555186,-98141291364,-7391288214,0,-89110014039,3331419644827,-511069025115,25484345483,-2468710659705,-595311888127,0,0,183478453851,-3366128773613,338100000000,-142548827636,3233083516768,-3789115747176,-35001066500,-395482124544,-430191253330,2011202511723,1495433814,1582506692207
8,VNM,2023,1,2312046425953,529307916114,4416470035,-10136208614,0,-308900756248,82291916805,0,2670410792851,-443861503618,-1251259683318,128549496304,-52896323660,-69373556896,-414525307219,0,-438254973999,128788940445,-357267370903,22907922254,0,595311888127,-11875000000,0,225679908509,474757347987,0,0,4497529706931,-2462185467993,-2925937623000,-890593384062,-287047095630,2299943527624,-1693920271,2011202511723
9,VNM,2022,4,2295242241835,518465696774,18795035435,-37709125252,0,-289871188461,53226546796,0,2621819923631,-323856956229,100113197805,587684749308,-24722822830,-72895032400,-1182224363703,0,-68713560259,1637205135323,-544290990514,31517617681,0,2114126507322,-12275000000,0,439122953860,2028201088349,338100000000,0,74460006848,-4575198249609,-68054218220,-4230692460981,-565286237309,2867857717514,-2627952581,2299943527624
