,Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
,ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
0,VNM,2025,1,0.275579277,0.4622581425,0.3271889190884135,1.8001574455581277,1.0923019385,4.9462935829,27.963633828655997,64.9545236437,38.7931584903,131.711315962656,5.6193160926,0.12445747043969477,0.4028358492105164,0.12126340727671815,0.2662589472,0.2005584513,0.1579952611,11696343274578.0,1609795815116,0.0424175824,2.2617177374,0.1495298006,1.8507353231,-21.419617681321764,1.4622581425390466,114111567297000,2089955445,13.0173320325,3.3863805487,1.882883021,13.1864885833,750.4859454556458,16123.4094084116,10.7480469239
1,VNM,2024,4,0.2607159255,0.5217683564,0.34694601202730957,1.7308695702679442,1.1470704479,4.8955687739,28.363734725366623,59.9545442453,38.7260736706,127.04435264126663,6.087945536,0.1488652578128431,0.40121866677605833,0.1372125886638847,0.2936214847,0.2289344259,0.1743798413,12499712332272.0,2303998481007,0.068383659,2.0343755129,0.1206525856,1.7263051029,-34.85105574018045,1.5217683563782505,117664491553500,2089955445,12.5277473902,3.6452538608,1.9044920966,12.1479713322,1016.1217903293627,15444.7405174252,10.1898949197
2,VNM,2024,3,0.2442131302,0.6364949716,0.3363453720387697,1.6863649412335677,1.1456936415,5.0230527645,28.198877402525273,64.8506595428,37.7773911117,130.82692805702527,5.6283159273,0.17012525541032714,0.41200402135435843,0.1546931148105937,0.2968920579,0.2413244875,0.177516218,12900036387813.0,2643293478851,0.0625,1.8428713857,0.1188597762,1.5657294996,-42.20839590996359,1.6364949715708919,128741255412000,2089955445,13.4179901633,4.1038192243,2.0790120337,14.5050928773,1150.0336577194353,15010.407777183,10.7323355446
3,VNM,2024,2,0.2128752149,0.4136036162,0.32072349183811083,1.8343667289738324,1.1621021205,5.0106083215,28.011965968938547,63.9141572499,37.5389256581,129.46504887693854,5.7107848356,0.18233473919835413,0.42432809998722965,0.1603331558833555,0.3013055891,0.2297574228,0.1814318619,12924710671414.0,3036928719637,0.0572916667,2.4236843095,0.0778928284,2.0001214223,-47.23469711347082,1.4136036162402255,140445005904000,2089955445,14.5036724164,4.0891076892,2.2643692362,16.2304329967,1277.7664823778098,16433.9032149807,11.6997178552
4,VNM,2024,1,0.196289986,0.4401265559,0.3477351121244394,1.7161892480197825,1.1521342851,4.9399013111,27.738283213454437,64.3645887736,37.489483467,129.59235545405443,5.6708200418,0.1715037886481163,0.4188881199501042,0.15551325115837963,0.2886003076,0.2371230407,0.1752419785,12399703234105.0,2420332007836,0.0580693816,2.2893310674,0.1170020534,1.8459789079,-28.014585044405834,1.44012655593917,138564046003500,2089955445,15.0421043003,4.3499499066,2.2879347942,15.9890499528,1050.1022741180973,15241.5548278179,11.9049503625
5,VNM,2023,4,0.2482376785,0.503847326,0.3622950154172328,1.6759086347637426,1.1935801024,4.9094668502,28.54429291624184,59.7365769092,41.2133044347,129.49417426014185,6.1101592841,0.15646470694331663,0.4124292084272476,0.14892483562393963,0.2883642068,0.224714239,0.1754480074,11825606239806.0,2443777030762,0.0309295352,2.0967693373,0.1699791775,1.7392109817,-25.394745078427572,1.5038473260455885,139400028181500,2089955445,15.7091475042,4.3979191434,2.309135869,17.6737089215,1112.9490657950366,15166.2633679499,12.0948382926
6,VNM,2023,3,0.2187961881,0.6165436147,0.3545643104281446,1.6269755458498303,1.174740419,5.0189057609,28.26817986519523,61.9728346774,40.5876207047,130.8286352472952,5.8896773385,0.17523911645580642,0.419192032094275,0.15938197722329941,0.2683231232,0.2281079323,0.1652940392,11444085780622.0,2740211905894,0.0306994048,1.8471276117,0.3371073311,1.5678158261,-34.42447881104353,1.616543614674043,140445005904000,2089955445,16.6860251358,4.5813868943,2.3478382524,15.5370639538,1192.4914576353565,14668.0473732396,12.5893649932
7,VNM,2023,2,0.1824048198,0.3903085829,0.3224613032901597,1.7541067583377596,1.2057328538,5.0631496571,28.241937847998344,61.0475164828,39.4280124164,128.71746674719836,5.9789492027,0.16584193340048067,0.4047557037885932,0.14470789831225914,0.2611320803,0.2168010854,0.1645303702,11420616979783.0,2519939148334,0.0273245033,2.4306198401,0.1152362732,1.9707499066,-26.257397129261008,1.3903085829130115,157791636097500,2089955445,19.1833348698,4.71466757,2.6184544845,16.9025104331,1052.0851962760382,16013.8543977826,14.518348193
8,VNM,2023,1,0.2031680109,0.4275416585,0.34464838260662334,1.651242194917605,1.1834302008,4.9942481562,28.509947355796545,63.2910154864,40.3373891301,132.13835197229653,5.7670112763,0.14851509436140808,0.38783405009073646,0.13340142072606723,0.2560961971,0.2219142148,0.1599143486,11288070587267.0,2067091290344,0.0280680272,2.2484117827,0.1396705538,1.7830663719,-25.119007681425217,1.4275416585121616,153611725207500,2089955445,18.9419836319,4.8763165168,2.5603314036,17.4284890626,888.4080575392362,15072.8525818961,14.3124085979
