,id,event_title,en__event_title,public_date,issue_date,source_url,event_list_code,ratio,value,record_date,exright_date,event_list_name,en__event_list_name
0,2001714,VCB - Phát hành cổ phiếu trả cổ tức tỷ lệ 27.6%,VCB - Issues dividend shares at 27.6%,2021-12-16,2021-12-22,http://fiinpro.com/News/Detail/10117337?lang=vi-vn,ISS,0.276,0.0,2021-12-23,2021-12-22,Phát hành cổ phiếu,Share Issue
1,24939896,"VCB - Phát hành cổ phiếu trả cổ tức tỷ lệ 18,1%",VCB - Issues dividend shares at 18.1%,2023-07-13,2023-07-25,http://fiinpro.com/News/Detail/10853369?lang=vi-vn,ISS,0.181,0.0,2023-07-26,2023-07-25,Phát hành cổ phiếu,Share Issue
2,52621324,"VCB - Phát hành cổ phiếu trả cổ tức tỷ lệ 49,5%",VCB - Issues dividend shares at 49.5%,2025-03-06,2025-03-12,http://fiinpro.com/News/Detail/11483707?lang=vi-vn,ISS,0.495,0.0,2025-03-13,2025-03-12,Phát hành cổ phiếu,Share Issue
3,34193,Niêm yết mới,,2009-06-25,2009-06-30,,NLIS,,,1753-01-01,1753-01-01,Niêm yết mới,New listing
4,34198,Niêm yết thêm,,2011-09-09,2011-09-20,,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
5,34201,Niêm yết thêm,,2012-05-11,2012-06-04,,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
6,34199,Trả cổ tức bằng tiền mặt,,2012-02-15,2012-03-28,,DIV,,,2012-02-28,2012-02-24,Trả cổ tức bằng tiền mặt,Cash Dividend
7,34203,Trả cổ tức bằng tiền mặt,,2013-02-08,2013-03-28,,DIV,,,2013-02-28,2013-02-26,Trả cổ tức bằng tiền mặt,Cash Dividend
8,34200,Trả cổ tức bằng tiền mặt,,2012-02-10,2012-03-28,,DIV,,,2012-02-28,2012-02-24,Trả cổ tức bằng tiền mặt,Cash Dividend
9,34192,Phát hành cổ phiếu,,2014-06-11,1753-01-01,,ISS,,,2014-06-20,2014-06-18,Phát hành cổ phiếu,Share Issue
10,34191,VCB-Niêm yết bổ sung 719.276.804,"VCB-Lists 719,276,804 additional shares ",2016-11-22,1753-01-01,http://fiinpro.com/News/Detail/323795?lang=vi-VN,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
11,34212,VCB - Niêm yết bổ sung 111.108.873 cổ phiếu ,"VCB - Lists 111,108,873 additional shares",2019-01-28,2020-01-06,http://fiinpro.com/News/Detail/2779198?lang=vi-VN,AIS,0.0,0.0,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
12,3773175,VCB - Niêm yết bổ sung 1.023.639.123 cổ phiếu,"VCB - Lists additional 1,023,639,123 shares",2022-01-28,2022-02-14,http://fiinpro.com/News/Detail/10189353?lang=vi-vn,AIS,0.0,0.0,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
13,34209,VCB-Niêm yết bổ sung 213.471.437 cổ phiếu,"VCB-Lists 213,471,437 additional shares",2016-11-22,2016-11-30,http://fiinpro.com/News/Detail/323795?lang=vi-VN,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
14,27101879,"VCB - Niêm yết bổ sung 856,574,691 cổ phiếu","VCB- Lists additional 856,574,691 shares",2023-08-31,2023-08-30,http://fiinpro.com/News/Detail/10915684?lang=vi-vn,AIS,0.0,0.0,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
15,34205,Niêm yết thêm,,2014-08-01,2014-08-15,,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
16,55110368,VCB - Niêm yết bổ sung 2.766.583.832 cổ phiếu,"VCB- Lists additional 2,766,583,832 shares",2025-04-25,2025-04-23,http://fiinpro.com/News/Detail/11553954?lang=vi-vn,AIS,0.0,0.0,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
17,34194,Niêm yết thêm,,2010-10-11,2010-10-18,,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
18,34204,Trả cổ tức bằng tiền mặt,,2014-06-11,2014-07-18,,DIV,,,2014-06-20,2014-06-18,Trả cổ tức bằng tiền mặt,Cash Dividend
19,34206,Trả cổ tức bằng tiền mặt,,2015-06-18,2015-07-30,http://stoxvn.stox.vn/tin-tuc/255719/vcb-266-gdkhq-huo%CC%89ng-co%CC%89-tu%CC%81c-nam-2014.html,DIV,,,2015-06-30,2015-06-26,Trả cổ tức bằng tiền mặt,Cash Dividend
20,34208,VCB-Trả cổ tức năm 2015 bằng tiền 1000 đồng/cổ phiếu,VCB-Pays 2015 cash dividend at VND1000/share,2016-09-01,2016-09-30,http://fiinpro.com/News/Detail/306315?lang=vi-VN,DIV,,,2016-09-12,2016-09-09,Trả cổ tức bằng tiền mặt,Cash Dividend
21,34210,"VCB - Trả cổ tức Cả năm, 2016 bằng tiền 800 VND/CP","VCB - Pays Year, 2016 cash dividend at VND800/share",2017-09-15,2017-10-16,http://fiinpro.com/News/Detail/671469?lang=vi-VN,DIV,0.08,800.0,2017-09-29,2017-09-28,Trả cổ tức bằng tiền mặt,Cash Dividend
22,34211,"VCB - Trả cổ tức Cả năm, 2017 bằng tiền 800 VND/CP","VCB - Pays Year, 2017 cash dividend at VND800/share",2018-09-14,2018-10-25,http://cmsv5.stoxplus.com/medialib/Crawler/2018/2018-09/2018-09-14/20180914_20180914--VCB--TB-ngay-DKCC-tra-co-tuc-2017-bang-tien.pdf,DIV,0.08,800.0,2018-10-08,2018-10-05,Trả cổ tức bằng tiền mặt,Cash Dividend
23,34196,Niêm yết thêm,,2011-03-15,2011-03-23,,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
24,34213,"VCB - Trả cổ tức Cả năm, 2018 bằng tiền 800 VND/CP","VCB - Pays Year, 2018 cash dividend at VND800/share",2019-12-24,2020-01-15,http://fiinpro.com/News/Detail/4189579?lang=vi-VN,DIV,0.08,800.0,2019-12-31,2019-12-30,Trả cổ tức bằng tiền mặt,Cash Dividend
25,34214,"VCB - Trả cổ tức Cả năm, 2019 bằng tiền 800 VND/CP","VCB - Pays Year, 2019 cash dividend at VND800/share",2020-12-15,2021-01-08,http://fiinpro.com/News/Detail/6417702?lang=vi-VN,DIV,0.08,800.0,2020-12-22,2020-12-21,Trả cổ tức bằng tiền mặt,Cash Dividend
26,1999493,"VCB - Trả cổ tức Cả năm, 2020 bằng tiền 1200 VND/CP","VCB - Pays Year, 2020 cash dividend at VND1200/share",2021-12-16,2022-01-05,http://fiinpro.com/News/Detail/10117337?lang=vi-vn,DIV,0.12,1200.0,2021-12-23,2021-12-22,Trả cổ tức bằng tiền mặt,Cash Dividend
27,34195,Phát hành cổ phiếu,,2010-12-08,2010-12-14,,ISS,,,2010-12-16,2010-12-14,Phát hành cổ phiếu,Share Issue
28,34197,Phát hành cổ phiếu,,2011-07-08,2011-07-20,,ISS,,,2011-07-20,2011-07-18,Phát hành cổ phiếu,Share Issue
29,34202,Niêm yết thêm,,2012-06-19,2012-06-27,,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
30,34207,VCB-Phát hành cổ phiếu để tăng vốn từ nguồn vốn chủ sở hữu tỷ lệ 35%,VCB-Issues bonus shares at 35%,2016-09-01,2016-09-09,http://fiinpro.com/News/Detail/306315?lang=vi-VN,ISS,,,2016-09-12,2016-09-09,Phát hành cổ phiếu,Share Issue
