,id,event_title,en__event_title,public_date,issue_date,source_url,event_list_code,ratio,value,record_date,exright_date,event_list_name,en__event_list_name
0,35256,Trả cổ tức bằng tiền mặt,,2011-08-31,2011-09-30,,DIV,,,2011-09-15,2011-09-13,Trả cổ tức bằng tiền mặt,Cash Dividend
1,35259,Trả cổ tức bằng tiền mặt,,2012-03-29,2012-04-25,,DIV,,,2012-04-10,2012-04-06,Trả cổ tức bằng tiền mặt,Cash Dividend
2,35263,Trả cổ tức bằng tiền mặt,,2013-05-27,2013-06-28,,DIV,,,2013-06-18,2013-06-14,Trả cổ tức bằng tiền mặt,Cash Dividend
3,35264,Trả cổ tức bằng tiền mặt,,2013-08-05,2013-09-06,,DIV,,,2013-08-22,2013-08-20,Trả cổ tức bằng tiền mặt,Cash Dividend
4,35265,Trả cổ tức bằng tiền mặt,,2013-12-05,2014-01-03,,DIV,,,2013-12-18,2013-12-16,Trả cổ tức bằng tiền mặt,Cash Dividend
5,35266,Trả cổ tức bằng tiền mặt,,2014-05-06,2014-05-30,,DIV,,,2014-05-15,2014-05-13,Trả cổ tức bằng tiền mặt,Cash Dividend
6,35268,Trả cổ tức bằng tiền mặt,,2014-08-01,2014-09-05,,DIV,,,2014-08-15,2014-08-13,Trả cổ tức bằng tiền mặt,Cash Dividend
7,35283,VNM-Niêm yết bổ sung 1.777.546 cổ phiếu,"VNM-Lists 1,777,546 additional shares",2016-08-29,2018-07-16,http://fiinpro.com/News/Detail/305867?lang=vi-VN,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
8,35258,Niêm yết thêm,,2011-12-23,2011-12-30,,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
9,35270,Trả cổ tức bằng tiền mặt,,2015-06-08,2015-06-26,http://stoxvn.stox.vn/tin-tuc/254424/vnm-126-gdkhq-huo%CC%89ng-co%CC%89-tu%CC%81c-do%CC%A3t-22014.html,DIV,,,2015-06-16,2015-06-12,Trả cổ tức bằng tiền mặt,Cash Dividend
10,35272,Trả cổ tức bằng tiền mặt,,2015-07-14,2015-09-04,http://stoxvn.stox.vn/tin-tuc/258907/vnm-58-gdkhq-huong-co-tuc-dot-12015.html,DIV,,,2015-08-07,2015-08-05,Trả cổ tức bằng tiền mặt,Cash Dividend
11,35269,Niêm yết thêm,,2014-09-18,2014-09-30,,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
12,35274,VNM-Trả cổ tức đợt 2 năm 2015 bằng tiền 2.000VND/CP,"VNM-Pays 2nd 2015 cash dividend at VND2,000/share",2016-05-26,2016-06-16,http://fiinpro.com/News/Detail/294709?lang=vi-VN,DIV,,,2016-06-06,2016-06-03,Trả cổ tức bằng tiền mặt,Cash Dividend
13,35276,VNM-Tạm ứng cổ tức đợt 1 năm 2016 bằng tiền 4.000VND/CP,"VNM-Pays 1st 2016 interim cash dividend at VND4,000/share",2016-08-05,2016-08-31,http://fiinpro.com/News/Detail/303519?lang=vi-VN,DIV,,,2016-08-22,2016-08-19,Trả cổ tức bằng tiền mặt,Cash Dividend
14,35273,Niêm yết thêm,,2015-09-09,2015-09-15,http://stoxvn.stox.vn/tin-tuc/265641/vnm-159-giao-dich-bo-sung-tren-200-trieu-cp.html,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
15,35278,"VNM - Trả cổ tức Đợt 2, 2016 bằng tiền 2000 VND/CP","VNM - Pays Interim 2, 2016 cash dividend at VND2000/share",2017-04-24,2017-05-22,http://fiinpro.com/News/Detail/341812?lang=vi-VN,DIV,,,2017-05-05,2017-05-04,Trả cổ tức bằng tiền mặt,Cash Dividend
16,35281,"VNM-Trả cổ tức Đợt 2, 2017 bằng tiền 1500 VND/CP","VNM-Pays Interim 2, 2017 cash dividend at VND1500/share",2017-12-21,2018-03-30,http://fiinpro.com/News/Detail/1172765?lang=vi-VN,DIV,0.15,1500.0,2017-12-29,2017-12-28,Trả cổ tức bằng tiền mặt,Cash Dividend
17,35253,Niêm yết thêm,,2011-03-07,2011-03-11,,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
18,35282,"VNM - Trả cổ tức Đợt 3, 2017 bằng tiền 1500 VND/CP","VNM - Pays Interim 3, 2017 cash dividend at VND1500/share",2018-05-29,2018-06-26,http://cmsv5.stoxplus.com/medialib/Crawler/2018/2018-05/2018-05-29/20180529_20180529---VNM--TB-ngay-dkcc-thanh-toan-co-tuc-con-lai-nam-2017-bang-tien.pdf,DIV,0.15,1500.0,2018-06-06,2018-06-05,Trả cổ tức bằng tiền mặt,Cash Dividend
19,35285,"VNM - Trả cổ tức Đợt 1, 2018 bằng tiền 2000 VND/CP","VNM - Pays Interim 1, 2018 cash dividend at VND2000/share",2018-08-17,2018-09-26,http://cmsv5.stoxplus.com/medialib/Crawler/2018/2018-08/2018-08-17/20180817_20180817--VNM--TB-NDKCC-chot-danh-sach-tra-co-tuc-va-co-phieu-thuong.pdf,DIV,0.2,2000.0,2018-09-06,2018-09-05,Trả cổ tức bằng tiền mặt,Cash Dividend
20,35287,"VNM - Trả cổ tức Đợt 2, 2018 bằng tiền 1000 VND/CP","VNM - Pays Interim 2, 2018 cash dividend at VND1000/share",2018-12-12,2019-02-28,http://cmsv5.stoxplus.com/medialib/Crawler/2018/2018-12/2018-12-12/20181212_20181212--VNM--TB-NDKCC-tra-co-tuc.pdf,DIV,0.1,1000.0,2018-12-28,2018-12-27,Trả cổ tức bằng tiền mặt,Cash Dividend
21,35288,"VNM - Trả cổ tức Đợt 3, 2018 bằng tiền 1500 VND/CP","VNM - Pays Interim 3, 2018 cash dividend at VND1500/share",2019-05-30,2019-06-26,http://cmsv5.stoxplus.com/medialib/Crawler/2019/2019-05/2019-05-30/20190530_20190530--VNM--TB-NDKCC-tra-co-tuc.pdf,DIV,0.15,1500.0,2019-06-06,2019-06-05,Trả cổ tức bằng tiền mặt,Cash Dividend
22,35290,"VNM - Trả cổ tức Đợt 1, 2019 bằng tiền 2000 VND/CP","VNM - Pays Interim 1, 2019 cash dividend at VND2000/share",2019-09-10,2019-09-26,http://cmsv5.stoxplus.com/medialib/Crawler/2019/2019-09/2019-09-10/20190910_20190910--VNM--TB-NDKCC-tra-co-tuc.pdf,DIV,0.2,2000.0,2019-09-17,2019-09-16,Trả cổ tức bằng tiền mặt,Cash Dividend
23,35280,"VNM - Trả cổ tức Đợt 1, 2017 bằng tiền 2000 VND/CP","VNM - Pays Interim 1, 2017 cash dividend at VND2000/share",2017-08-04,2017-08-31,https://www.hsx.vn/Modules/Cms/Web/DownloadFile/d37b9b52-9567-4ea8-9dc3-e5f07356d1d8?ridx=305880631,DIV,0.2,2000.0,2017-08-15,2017-08-14,Trả cổ tức bằng tiền mặt,Cash Dividend
24,35291,"VNM - Trả cổ tức Đợt 2, 2019 bằng tiền 1000 VND/CP","VNM - Pays Interim 2, 2019 cash dividend at VND1000/share",2019-12-13,2020-02-28,http://fiinpro.com/News/Detail/4141547?lang=vi-VN,DIV,0.1,1000.0,2019-12-27,2019-12-26,Trả cổ tức bằng tiền mặt,Cash Dividend
25,35254,Niêm yết thêm,,2011-04-01,2011-04-08,,AIS,,,1753-01-01,1753-01-01,Niêm yết thêm,Additional Listing
26,35292,"VNM - Trả cổ tức Đợt 3, 2019 bằng tiền 1500 VND/CP","VNM - Pays Interim 3, 2019 cash dividend at VND1500/share",2020-06-22,2020-07-15,http://fiinpro.com/News/Detail/5217217?lang=vi-VN,DIV,0.15,1500.0,2020-06-30,2020-06-29,Trả cổ tức bằng tiền mặt,Cash Dividend
27,35294,"VNM - Trả cổ tức Đợt 1, 2020 bằng tiền 2000 VND/CP","VNM - Pays Interim 1, 2020 cash dividend at VND2000/share",2020-08-28,2020-10-15,http://fiinpro.com/News/Detail/5673390?lang=vi-VN,DIV,0.2,2000.0,2020-09-30,2020-09-29,Trả cổ tức bằng tiền mặt,Cash Dividend
28,35297,"VNM - Trả cổ tức Đợt 3, 2020 bằng tiền 1100 VND/CP","VNM - Pays Interim 3, 2020 cash dividend at VND1100/share",2021-05-24,2021-06-30,http://fiinpro.com/News/Detail/7715383?lang=vi-VN,DIV,0.11,1100.0,2021-06-08,2021-06-07,Trả cổ tức bằng tiền mặt,Cash Dividend
