,time,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,MACD,MACD_Signal,RSI,Stoch,Stoch_Signal,BB_High,BB_Low,BB_Mid,ATR,OBV,Force_Index,Conversion_Line,Base_Line,Leading_Span_A,Leading_Span_B,Lagging_Span,Fib_Level 0.0,Fib_Level 0.236,Fib_Level 0.382,Fib_Level 0.5,Fib_Level 0.618,Fib_Level 0.786,Fib_Level 1.0
0,2024-06-03,58.86,59.73,58.86,59.0,2111127,,,,,,,,,,,,0.0,2111127,,,,,,58.93,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
1,2024-06-04,59.47,59.67,59.06,59.33,1818442,,,,,,,,,,,,0.0,3929569,,,,,,59.26,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
2,2024-06-05,59.33,59.87,59.26,59.4,1886226,,,,,,,,,,,,0.0,5815795,,,,,,58.93,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
3,2024-06-06,59.47,60.0,59.4,59.53,1702865,,,,,,,,,,,,0.0,7518660,,,,,,58.6,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
4,2024-06-07,59.6,60.0,59.2,59.2,1131101,,,,,,,,,,,,0.0,6387559,,,,,,58.53,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
5,2024-06-10,59.47,59.67,58.8,58.86,2643949,,,,,,,,,,,,0.0,3743610,,,,,,58.8,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
6,2024-06-11,59.06,59.13,58.26,58.33,2256534,,,,,,,,,,,,0.0,1487076,,,,,,58.86,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
7,2024-06-12,58.46,59.67,58.19,59.33,2251490,,,,,,,,,,,,0.0,3738566,,,,,,58.86,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
8,2024-06-13,59.47,59.6,59.13,59.13,1603414,,,,,,,,,,,,0.0,2135152,,59.095,,,,58.53,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
9,2024-06-14,59.2,59.6,58.53,58.53,2484887,,,,,,,,,,,,0.0,-349735,,59.095,,,,58.66,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
10,2024-06-17,58.6,58.73,58.26,58.26,2295281,,,,,,,,,,,,0.0,-2645016,,59.095,,,,58.53,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
11,2024-06-18,58.53,59.2,58.26,58.26,1372946,,,,,,,,,,,,0.0,-1272070,,59.095,,,,58.53,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
12,2024-06-19,58.39,58.53,57.86,57.93,2176749,,,,,,,,,,,,0.0,-3448819,,58.93,,,,58.39,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
13,2024-06-20,57.93,57.93,57.26,57.53,2654038,,,,,,28.519353372622874,9.854014598540253,,,,,0.7900000000000011,-6102857,-308183.0819363767,58.465,,,,58.39,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
14,2024-06-21,57.59,57.99,57.19,57.53,1809985,,,,,,28.519353372622874,12.09964412811399,,,,,0.7907142857142871,-4292872,-264156.92737403716,58.43,,,,58.39,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
