,time,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,MACD,MACD_Signal,RSI,Stoch,Stoch_Signal,BB_High,BB_Low,BB_Mid,ATR,OBV,Force_Index,Conversion_Line,Base_Line,Leading_Span_A,Leading_Span_B,Lagging_Span,Fib_Level 0.0,Fib_Level 0.236,Fib_Level 0.382,Fib_Level 0.5,Fib_Level 0.618,Fib_Level 0.786,Fib_Level 1.0
0,2024-06-03,60.94,61.68,60.84,61.21,3193327,,,,,,,,,,,,0.0,3193327,,,,,,62.51,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
1,2024-06-04,61.21,61.68,61.12,61.12,2447656,,,,,,,,,,,,0.0,745671,,,,,,61.86,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
2,2024-06-05,61.31,64.08,61.31,63.44,11876432,,,,,,,,,,,,0.0,12622103,,,,,,61.4,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
3,2024-06-06,63.9,63.9,62.23,62.23,4893549,,,,,,,,,,,,0.0,7728554,,,,,,61.4,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
4,2024-06-07,62.6,63.53,62.51,62.79,4131178,,,,,,,,,,,,0.0,11859732,,,,,,61.31,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
5,2024-06-10,63.34,63.44,62.23,62.23,4569222,,,,,,,,,,,,0.0,7290510,,,,,,61.21,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
6,2024-06-11,62.42,62.51,61.49,61.58,6181560,,,,,,,,,,,,0.0,1108950,,,,,,60.84,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
7,2024-06-12,61.58,62.32,61.4,62.05,3427814,,,,,,,,,,,,0.0,4536764,,,,,,61.03,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
8,2024-06-13,62.05,62.42,61.86,61.95,2807130,,,,,,,,,,,,0.0,1729634,,62.46,,,,60.47,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
9,2024-06-14,62.05,62.32,61.31,61.31,4127632,,,,,,,,,,,,0.0,-2397998,,62.599999999999994,,,,60.56,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
10,2024-06-17,61.4,61.68,61.12,61.12,3621867,,,,,,,,,,,,0.0,-6019865,,62.599999999999994,,,,61.03,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
