time,Unnamed: 0,open,high,low,close,volume,returns,volatility,volume_sma20,volume_ratio,volume_class,accumulation,distribution,local_min,local_max,rsi,stoch_k,stoch_d,macd,adx,rsi_signal,stoch_signal,macd_signal,volume_signal,swing_signal,swing_strength
2024-06-03,0,115.78,118.01,115.52,117.41,7782256,,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-04,1,119.21,119.47,118.18,119.3,7019713,0.016097436334213455,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-05,2,120.07,124.27,119.81,120.16,6336780,0.007208717518859986,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-06,3,120.33,121.53,119.04,119.73,5222139,-0.0035785619174433236,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-07,4,120.93,121.79,120.5,121.79,3762372,0.017205378768896606,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-10,5,123.07,124.36,122.64,123.5,3785656,0.014040561622464809,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-11,6,123.76,125.64,122.73,125.64,6340276,0.017327935222672064,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-12,7,127.02,131.78,126.92,131.09,11246768,0.04337790512575612,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-13,8,132.78,132.88,129.1,129.1,8167546,-0.015180410405065237,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-14,9,129.2,131.69,128.11,130.1,6425220,0.0077459333849729806,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-17,10,130.1,130.49,127.61,127.91,4890848,-0.016833205226748693,,,,,False,False,115.52,135.16,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-18,11,127.91,128.81,127.12,127.12,6694763,-0.006176217653037219,,,,,False,False,118.18,135.16,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-19,12,127.12,131.88,125.73,130.59,9684926,0.02729704216488349,,,,,False,False,119.04,135.16,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-20,13,132.08,134.76,130.89,132.38,10482529,0.013707021977180434,,,,,False,False,119.04,135.16,77.32092879696695,87.62993762993766,,,0.0,-1,0,-1,0,-2,Sell
2024-06-21,14,132.98,135.16,132.38,135.16,7663338,0.021000151080223572,,,,,False,False,120.5,135.16,80.60256325109526,100.0,,,0.0,-1,0,-1,0,-2,Sell
2024-06-24,15,134.07,134.57,131.09,131.19,13202385,-0.02937259544243853,,,,,False,False,122.64,138.74,65.93076221208624,75.37220843672455,87.66738202222074,,0.0,0,0,-1,0,-1,Sell
2024-06-25,16,130.1,130.2,127.71,129.1,13723703,-0.015931092308865025,,,,,False,False,122.73,138.74,59.763259944544494,62.40694789081883,79.25971877584779,,0.0,0,0,-1,0,-1,Sell
2024-06-26,17,130.1,130.89,128.51,130.89,7158131,0.01386522075910146,,,,,False,False,125.73,138.74,62.95916194521333,70.87312414733962,69.55076015829432,,0.0,0,0,-1,0,-1,Sell
2024-06-27,18,130.39,133.17,129.9,131.88,6409612,0.0075636030254413456,,,,,False,False,125.73,138.74,64.63234618155576,73.80191693290733,69.02732965702192,,0.0,0,0,-1,0,-1,Sell
2024-06-28,19,131.88,131.88,129.5,129.6,6641381,-0.017288444040036377,,7632017.1,0.8701999632574199,Normal,False,False,125.73,138.74,58.12087072510747,55.2695092518101,66.64818344401903,,0.0,0,0,-1,0,-1,Sell
2024-07-01,20,129.5,129.5,127.61,127.71,6386361,-0.014583333333333393,0.0184672390672926,7562222.35,0.8445084929299917,Normal,False,False,125.73,138.74,53.32495417085517,20.99681866383872,50.022748282852056,,0.0,0,0,-1,0,-1,Sell
2024-07-02,21,127.71,131.19,126.62,127.12,6735345,-0.0046198418291441,0.01835577700023719,7548003.95,0.892334588669631,Normal,False,False,125.73,138.74,51.885620736554024,14.740190880169688,30.335506265272837,,0.0,0,0,-1,0,-1,Sell
2024-07-03,22,129.6,131.88,129.2,130.1,7642345,0.02344241661422264,0.018887143082055285,7613282.2,1.0038173811552658,High,True,False,125.73,138.74,58.04532943164013,46.34146341463408,27.359490986214166,,0.0,0,0,-1,1,0,Neutral
2024-07-04,23,131.19,134.86,131.19,134.86,8129152,0.03658724058416607,0.020117419262365543,7758632.85,1.0477557267064133,High,True,False,126.62,138.74,65.61718168512564,96.81866383881247,52.63343937787207,,0.0,0,0,-1,1,0,Neutral
2024-07-05,24,135.16,138.74,135.16,137.74,7807749,0.021355479756784757,0.020258269145839204,7960901.7,0.9807618903270718,High,False,False,126.62,138.74,69.23501640334375,92.31360491929286,78.4912440575798,,0.0,0,0,-1,0,-1,Sell
2024-07-08,25,137.54,138.64,136.55,138.64,5876745,0.006534049658777352,0.020177981612619154,8065456.15,0.7286314488238833,Low,False,False,125.13,138.74,70.28718597843061,99.23136049192911,96.12120975001147,,0.0,-1,-1,-1,0,-3,Strong Sell
2024-07-09,26,138.14,138.34,135.06,136.55,9689262,-0.015075014425850908,0.02051779395481593,8232905.45,1.1768946040792925,High,False,True,122.35,138.74,64.74919921648824,81.93069306930695,91.15855282684298,,0.0,0,-1,-1,-1,-3,Strong Sell
2024-07-10,27,135.06,136.05,133.08,133.08,6309470,-0.025411937019406805,0.019368275660084935,7986040.55,0.7900623544918013,Low,False,False,122.35,138.74,56.75382547649336,53.30033003300335,78.15412786474647,,53.78307487610935,0,0,-1,0,-1,Sell
2024-07-11,28,133.17,134.47,131.59,132.08,6857179,-0.007514277126540403,0.01910672789758867,7920522.2,0.8657483467441073,Normal,False,False,122.35,138.74,54.659123513727415,45.0495049504951,60.093509350935136,,52.10023881428653,0,0,-1,0,-1,Sell
2024-07-12,29,131.29,135.06,131.29,132.88,3562395,0.006056935190793311,0.01908052059891518,7777380.95,0.4580455840985904,Very Low,False,False,122.35,138.74,56.05644693523968,51.65016501650155,50.0,,50.661180050653115,0,0,-1,0,-1,Sell
2024-07-15,30,132.58,133.87,131.39,131.78,3074934,-0.008278145695364225,0.018747241649500722,7686585.25,0.40003901602470354,Very Low,False,False,122.35,138.74,53.60997620932597,42.57425742574253,46.424642464246396,,49.3249111987078,0,0,-1,0,-1,Sell
2024-07-16,31,132.68,133.57,131.39,133.08,4007693,0.009864926392472384,0.0187375753463512,7552231.75,0.5306634029073591,Very Low,False,False,122.35,138.74,56.05114267113908,53.30033003300335,49.17491749174914,,48.08409012190143,0,0,-1,0,-1,Sell
2024-07-17,32,133.08,133.17,129.0,130.99,6980219,-0.015704839194469522,0.01819696322611283,7416996.4,0.9411112832682512,Normal,False,False,122.35,138.74,51.37080894227485,36.05610561056108,43.97689768976898,,45.88134944695893,0,0,-1,0,-1,Sell
2024-07-18,33,130.49,130.49,126.92,127.02,10828773,-0.030307657073059158,0.01912912518331514,7434308.6,1.4565944975703593,Very High,False,True,122.35,138.74,43.8761810565185,3.300330033003229,30.885588558855886,-1.0470860755300913,43.043827712964834,0,0,-1,-1,-2,Sell
2024-07-19,34,127.71,128.41,125.13,125.13,6581002,-0.014879546528105858,0.01854281715558453,7380191.8,0.8917115135137816,Normal,False,False,122.35,138.74,40.822725210099065,0.0,13.118811881188103,-1.3352460184774961,40.14066218670826,0,1,-1,0,0,Neutral
2024-07-22,35,125.13,125.13,122.35,123.24,6242427,-0.015104291536801706,0.017760466501106985,7032193.9,0.8876926729793386,Normal,False,False,120.17,138.64,37.97654155841736,5.430140329469187,2.910156787490805,-1.585610179772213,38.27297127778247,0,1,-1,0,0,Neutral
2024-07-23,36,124.04,126.62,123.94,124.63,5323805,0.011278805582602969,0.01775764703340762,6612199.0,0.8051489375924711,Low,False,False,116.59,138.34,41.22226457492279,13.910921293471624,6.44702054098027,-1.5862243106531957,36.01624491623463,0,1,-1,0,0,Neutral
2024-07-24,37,124.63,125.73,123.14,125.13,4160841,0.00401187515044521,0.017439514660157293,6462334.5,0.6438603572749135,Low,False,False,116.59,136.05,42.390128570801714,16.961561928004873,12.100874516981895,-1.483450161910925,34.15916908953973,0,1,-1,0,0,Neutral
2024-07-25,38,123.34,124.63,123.24,124.14,2569074,-0.007911771757372343,0.017330992090650223,6270307.6,0.40972056937047235,Very Low,False,False,116.59,135.06,40.66717605099398,10.988336402701087,13.953606541392526,-1.412969069266127,32.43474153618018,0,1,-1,0,0,Neutral
2024-07-26,39,125.03,127.12,123.54,127.12,3959362,0.024005155469631,0.017971666855021395,6136206.65,0.6452458702641639,Low,False,False,116.59,135.06,47.57459956943646,29.831144465290855,19.260347598665604,-1.109846806224449,30.301176325179735,0,0,-1,0,-1,Sell
2024-07-29,40,129.1,129.7,128.11,128.11,4867859,0.0077879169288861405,0.01776447000500693,6060281.55,0.8032397438696557,Low,False,False,116.59,133.87,49.67085514657318,42.04379562043805,27.621092162809997,-0.8012673201277116,29.10763870448642,0,0,-1,0,-1,Sell
2024-07-30,41,128.11,128.61,126.12,127.12,2383126,-0.00772773397861215,0.01782332110258987,5842670.6,0.4078829978879864,Very Low,False,False,116.59,133.57,47.62026454832766,37.529504327301396,36.468148137676764,-0.6299763229653575,27.30216313197015,0,0,-1,0,-1,Sell
2024-07-31,42,126.42,127.71,125.73,127.71,2875191,0.004641283826305687,0.0170073104730385,5604312.9,0.5130318473117373,Very Low,False,False,116.59,133.17,48.97229011145147,42.171518489378414,40.581606145705955,-0.451446695760213,25.493544042620066,0,0,-1,0,-1,Sell
2024-08-01,43,128.71,128.81,123.24,123.94,6904015,-0.029520006264192267,0.01573736119688653,5543056.05,1.245525020444273,High,False,True,116.59,130.59,41.5857629673648,13.80208333333335,31.16770205000439,-0.5549549294512092,24.325845770203962,0,0,-1,-1,-2,Sell
2024-08-02,44,121.26,123.94,120.17,122.35,9975015,-0.012828788123285473,0.01464627537572983,5651419.35,1.765045979113194,Very High,False,False,116.59,130.59,38.91953094834412,16.268656716417865,24.080752846376544,-0.6894255960586715,24.062756760297678,0,0,-1,0,-1,Sell
2024-08-05,45,120.26,122.05,116.59,117.78,10450171,-0.03735185941969754,0.01593156771561743,5880090.65,1.7772125672926486,Very High,False,True,116.59,130.59,32.474815865942176,7.177322074788895,12.416020708180037,-1.0248590390171235,24.595727306483496,0,1,-1,-1,-1,Sell
