time,Unnamed: 0,open,high,low,close,volume,returns,volatility,volume_sma20,volume_ratio,volume_class,accumulation,distribution,local_min,local_max,rsi,stoch_k,stoch_d,macd,adx,rsi_signal,stoch_signal,macd_signal,volume_signal,swing_signal,swing_strength
2024-06-03,0,60.94,61.68,60.84,61.21,3193327,,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-04,1,61.21,61.68,61.12,61.12,2447656,-0.0014703479823559018,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-05,2,61.31,64.08,61.31,63.44,11876432,0.03795811518324599,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-06,3,63.9,63.9,62.23,62.23,4893549,-0.01907313997477933,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-07,4,62.6,63.53,62.51,62.79,4131178,0.008998875140607376,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-10,5,63.34,63.44,62.23,62.23,4569222,-0.00891861761426982,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-11,6,62.42,62.51,61.49,61.58,6181560,-0.010445122931062145,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-12,7,61.58,62.32,61.4,62.05,3427814,0.0076323481649887,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-13,8,62.05,62.42,61.86,61.95,2807130,-0.0016116035455276956,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-14,9,62.05,62.32,61.31,61.31,4127632,-0.010330912025827255,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-17,10,61.4,61.68,61.12,61.12,3621867,-0.0030990050562714755,,,,,False,False,60.29,64.08,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-18,11,61.58,61.58,61.03,61.03,2754686,-0.0014725130890052007,,,,,False,False,60.29,64.08,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-19,12,61.12,61.12,60.29,60.47,6160999,-0.009175815172865809,,,,,False,False,60.29,64.08,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-20,13,60.56,61.86,60.38,61.12,4400155,0.010749131800892986,,,,,False,False,60.29,63.9,46.516987633975106,21.899736147757217,,,0.0,0,0,-1,0,-1,Sell
2024-06-21,14,61.58,62.14,61.12,61.12,3970969,0.0,,,,,False,False,60.29,63.53,46.516987633975106,21.899736147757217,,,0.0,0,0,-1,0,-1,Sell
2024-06-24,15,61.21,61.68,60.47,60.66,3851919,-0.007526178010471174,,,,,False,False,60.29,63.44,41.92445981212278,9.762532981530278,17.854001759014903,,0.0,0,1,-1,0,0,Neutral
2024-06-25,16,60.94,61.31,60.66,60.66,2436399,0.0,,,,,False,False,60.29,62.69,41.92445981212278,10.249307479224308,13.9705255361706,,0.0,0,1,-1,0,0,Neutral
2024-06-26,17,60.94,60.94,60.29,60.38,2488180,-0.004615891856247889,,,,,False,False,60.29,62.79,39.19286198959739,2.777777777777881,7.596539412844155,,0.0,0,1,-1,0,0,Neutral
2024-06-27,18,60.38,60.75,60.29,60.47,2710114,0.0014905597880092714,,,,,False,False,60.29,62.79,40.53404137096432,5.714285714285708,6.247123657095966,,0.0,0,1,-1,0,0,Neutral
2024-06-28,19,60.66,61.12,60.47,60.66,2735071,0.0031420539110302848,,4139292.95,0.6607580166559605,Low,False,False,60.29,62.79,43.37357629282272,16.66666666666656,8.386243386243384,,0.0,0,1,-1,0,0,Neutral
2024-07-01,20,60.94,61.12,60.47,61.12,1911478,0.007583250906693095,0.011704755109494298,4075200.5,0.46905127735432894,Very Low,False,False,60.29,62.79,49.642999119156634,38.967136150234616,20.449362843728963,,0.0,0,0,-1,0,-1,Sell
2024-07-02,21,61.12,61.4,60.94,61.31,2044987,0.003108638743455572,0.011719445227357359,4055067.05,0.5043041150207369,Very Low,False,False,60.29,62.79,52.00658056884476,47.88732394366206,34.50704225352108,,0.0,0,0,-1,0,-1,Sell
2024-07-03,22,61.31,61.4,61.12,61.31,1334249,0.0,0.007655003717159615,3527957.9,0.378193005080928,Very Low,False,False,60.29,62.79,52.00658056884476,50.24630541871934,45.700255170872005,,0.0,0,0,-1,0,-1,Sell
2024-07-04,23,61.4,61.95,61.4,61.49,2691198,0.0029358995269939125,0.006520689795469485,3417840.35,0.7873972229276303,Normal,False,False,60.29,62.79,54.3602333884447,64.86486486486497,54.33283140908211,,0.0,0,0,-1,0,-1,Sell
2024-07-05,24,61.49,62.51,61.49,62.23,4183952,0.012034477150756118,0.006785294716675528,3420479.05,1.223206439460578,High,True,False,60.29,62.79,62.50190853773033,87.38738738738734,67.4995192236572,,0.0,0,0,-1,1,0,Neutral
2024-07-08,25,62.32,62.69,62.05,62.6,4946406,0.005945685360758457,0.006618115756529444,3439338.25,1.438185383481837,Very High,True,False,60.29,62.79,65.7881647144258,96.25000000000016,82.83408408408415,,0.0,0,-1,-1,1,-1,Sell
2024-07-09,26,62.6,62.79,62.23,62.51,5048980,-0.0014376996805112174,0.006136106074789872,3382709.25,1.4925846789817954,Very High,False,True,60.29,62.79,64.3117510546138,88.79999999999995,90.81246246246248,,0.0,0,-1,-1,-1,-3,Strong Sell
2024-07-10,27,62.51,62.79,61.86,61.86,3884733,-0.01039833626619735,0.006393594712061465,3405555.2,1.1407047520474782,High,False,True,60.29,62.79,54.75445058951286,62.80000000000001,82.61666666666672,,12.69602416560133,0,0,-1,-1,-2,Sell
2024-07-11,28,61.95,62.05,61.4,61.4,3789635,-0.007436146136437172,0.006593959714284635,3454680.45,1.0969567387918613,High,False,True,60.29,62.79,49.18391263111143,44.39999999999998,65.33333333333331,,12.482198065120437,0,0,-1,-1,-2,Sell
2024-07-12,29,61.49,61.68,61.21,61.4,2081812,0.0,0.00616802376904664,3352389.45,0.6209934827231961,Very Low,False,False,60.29,62.79,49.18391263111143,44.39999999999998,50.533333333333324,,11.962964228652895,0,0,-1,0,-1,Sell
2024-07-15,30,61.4,61.95,61.31,61.31,2157757,-0.00146579804560254,0.0061342808178352776,3279183.95,0.6580164555879825,Low,False,False,60.29,62.79,48.07411684483008,40.800000000000125,43.200000000000024,,11.879860846317827,0,0,-1,0,-1,Sell
2024-07-16,31,61.49,61.77,61.21,61.21,2245463,-0.0016310552927744082,0.006136621255311096,3253722.8,0.690121174428258,Low,False,False,60.29,62.79,46.81024486940094,36.80000000000007,40.66666666666672,,11.620917099349544,0,0,-1,0,-1,Sell
2024-07-17,32,61.31,61.58,60.75,60.84,3468308,-0.006044763927462782,0.005921964399500565,3119088.25,1.1119621254704801,High,False,True,60.29,63.34,42.37157556220438,15.94827586206916,31.182758620689782,,10.991163981991544,0,0,-1,-1,-2,Sell
2024-07-18,33,61.12,61.12,60.66,61.03,2284658,0.0031229454306376248,0.005441222576976158,3013313.4,0.758187980048806,Low,False,False,60.29,66.68,45.242941521492895,24.137931034482854,25.62873563218402,-0.09789865403236485,10.552681427483618,0,0,-1,0,-1,Sell
2024-07-19,34,61.03,61.03,60.29,60.47,3396038,-0.009175815172865809,0.005810258071841389,2984566.85,1.1378662870292215,High,False,True,60.29,66.68,39.0648164159791,7.199999999999989,15.76206896551733,-0.1324615870257232,10.725440192378855,0,1,-1,-1,-1,Sell
2024-07-22,35,60.47,61.12,60.38,60.56,2657788,0.0014883413262776202,0.005583236257313887,2924860.3,0.9086888696872121,Normal,False,False,60.29,66.68,40.4717327513812,10.800000000000125,14.045977011494317,-0.14179817961143037,10.70943242417101,0,1,-1,0,0,Neutral
2024-07-23,36,60.75,61.4,60.66,61.03,3780379,0.007760898282694884,0.005851443984283422,2992059.3,1.2634706137007379,Very High,True,False,60.29,66.68,47.31309891440116,29.60000000000008,15.866666666666726,-0.11026005214885339,10.155849850711466,0,0,-1,1,0,Neutral
2024-07-24,37,60.94,61.21,60.75,60.75,3615591,-0.004587907586432904,0.005850204703370406,3048429.85,1.1860502546909517,High,False,True,60.29,67.88,44.06410147174401,18.400000000000034,19.600000000000076,-0.10236766569188438,9.64180888964189,0,1,-1,-1,-1,Sell
