time,volume,volume_sma20,volume_ratio,volume_class,accumulation,distribution
2024-06-03,7782256,,,,False,False
2024-06-04,7019713,,,,False,False
2024-06-05,6336780,,,,False,False
2024-06-06,5222139,,,,False,False
2024-06-07,3762372,,,,False,False
2024-06-10,3785656,,,,False,False
2024-06-11,6340276,,,,False,False
2024-06-12,11246768,,,,False,False
2024-06-13,8167546,,,,False,False
2024-06-14,6425220,,,,False,False
2024-06-17,4890848,,,,False,False
2024-06-18,6694763,,,,False,False
2024-06-19,9684926,,,,False,False
2024-06-20,10482529,,,,False,False
2024-06-21,7663338,,,,False,False
2024-06-24,13202385,,,,False,False
2024-06-25,13723703,,,,False,False
2024-06-26,7158131,,,,False,False
2024-06-27,6409612,,,,False,False
2024-06-28,6641381,7632017.1,0.8701999632574199,Normal,False,False
2024-07-01,6386361,7562222.35,0.8445084929299917,Normal,False,False
2024-07-02,6735345,7548003.95,0.892334588669631,Normal,False,False
2024-07-03,7642345,7613282.2,1.0038173811552658,High,True,False
2024-07-04,8129152,7758632.85,1.0477557267064133,High,True,False
2024-07-05,7807749,7960901.7,0.9807618903270718,High,False,False
2024-07-08,5876745,8065456.15,0.7286314488238833,Low,False,False
2024-07-09,9689262,8232905.45,1.1768946040792925,High,False,True
2024-07-10,6309470,7986040.55,0.7900623544918013,Low,False,False
2024-07-11,6857179,7920522.2,0.8657483467441073,Normal,False,False
2024-07-12,3562395,7777380.95,0.4580455840985904,Very Low,False,False
2024-07-15,3074934,7686585.25,0.40003901602470354,Very Low,False,False
2024-07-16,4007693,7552231.75,0.5306634029073591,Very Low,False,False
2024-07-17,6980219,7416996.4,0.9411112832682512,Normal,False,False
2024-07-18,10828773,7434308.6,1.4565944975703593,Very High,False,True
2024-07-19,6581002,7380191.8,0.8917115135137816,Normal,False,False
2024-07-22,6242427,7032193.9,0.8876926729793386,Normal,False,False
2024-07-23,5323805,6612199.0,0.8051489375924711,Low,False,False
2024-07-24,4160841,6462334.5,0.6438603572749135,Low,False,False
2024-07-25,2569074,6270307.6,0.40972056937047235,Very Low,False,False
2024-07-26,3959362,6136206.65,0.6452458702641639,Low,False,False
2024-07-29,4867859,6060281.55,0.8032397438696557,Low,False,False
2024-07-30,2383126,5842670.6,0.4078829978879864,Very Low,False,False
2024-07-31,2875191,5604312.9,0.5130318473117373,Very Low,False,False
2024-08-01,6904015,5543056.05,1.245525020444273,High,False,True
2024-08-02,9975015,5651419.35,1.765045979113194,Very High,False,False
2024-08-05,10450171,5880090.65,1.7772125672926486,Very High,False,True
2024-08-06,6748144,5733034.75,1.1770631601352146,High,True,False
2024-08-07,2832328,5559177.65,0.5094868662813824,Very Low,False,False
2024-08-08,2663832,5349510.3,0.49795810281924313,Very Low,False,False
2024-08-09,5511755,5446978.3,1.01189222655798,High,True,False
2024-08-12,6204408,5603452.0,1.1072474610293797,High,True,False
2024-08-13,4110939,5608614.3,0.7329687477350689,Low,False,False
2024-08-14,2869469,5403076.8,0.5310805502524043,Very Low,False,False
2024-08-15,2266445,4974960.4,0.4555704604201472,Very Low,False,False
2024-08-16,5109223,4901371.45,1.0424068145253509,High,True,False
2024-08-19,2508560,4714678.1,0.5320745015444427,Very Low,False,False
2024-08-20,3753490,4636162.35,0.8096114235516365,Normal,False,False
2024-08-21,6137230,4734981.8,1.2961464814922836,Very High,True,False
2024-08-22,3032995,4758177.85,0.6374278338503048,Low,False,False
2024-08-23,3064441,4713431.8,0.6501507033580076,Low,False,False
2024-08-26,2598875,4599982.6,0.564974963166165,Very Low,False,False
2024-08-27,2346895,4598171.05,0.5103974981530972,Very Low,False,False
2024-08-28,2721387,4590480.85,0.5928326658851001,Low,False,False
2024-08-29,2098979,4350229.05,0.4824985020041646,Very Low,False,False
2024-08-30,3327420,4017849.3,0.828159483233978,Normal,False,False
2024-09-04,4547807,3722731.1,1.2216318820341334,High,False,False
2024-09-05,8071651,3788906.45,2.130337897363499,Very High,False,True
2024-09-06,3829410,3838760.55,0.9975641747178006,High,False,False
2024-09-09,2891093,3850123.6,0.7509091396442441,Low,False,False
2024-09-10,4203583,3784715.0,1.1106735910101553,High,False,True
2024-09-11,3196732,3634331.2,0.8795929220760067,Normal,False,False
2024-09-12,4124400,3635004.25,1.1346341617069635,High,True,False
2024-09-13,3191984,3651130.0,0.8742455075551953,Normal,False,False
2024-09-16,1921844,3633899.95,0.5288654135896064,Very Low,False,False
2024-09-17,2656869,3511282.25,0.7566663147059739,Low,False,False
2024-09-18,5390349,3655371.7,1.4746377228887557,Very High,True,False
2024-09-19,5162767,3725835.55,1.3856669009452123,Very High,True,False
2024-09-20,3728818,3605414.95,1.034227142149061,High,False,False
2024-09-23,2449563,3576243.35,0.6849542271780806,Low,False,False
2024-09-24,2017214,3523882.0,0.5724408479058039,Very Low,False,False
2024-09-25,4486319,3618254.2,1.2399126075774334,High,True,False
2024-09-26,2821536,3641986.25,0.7747245064420548,Low,False,False
2024-09-27,3358474,3673840.6,0.9141588777694928,Normal,False,False
2024-09-30,3037449,3720764.1,0.8163508672855664,Normal,False,False
2024-10-01,4732079,3790997.05,1.2482412773177969,High,True,False
2024-10-02,1725815,3649897.45,0.4728393122387589,Very Low,False,False
2024-10-03,2306560,3361642.9,0.6861406962649126,Low,False,False
2024-10-04,1473158,3243830.3,0.45414151288986976,Very Low,False,False
2024-10-07,1336595,3166105.4,0.42215745565514023,Very Low,False,False
2024-10-08,2114750,3061663.75,0.6907192208811304,Low,False,False
2024-10-09,2626409,3033147.6,0.8659021407332765,Normal,False,False
2024-10-10,9980507,3325952.95,3.0007962078958452,Very High,True,False
2024-10-11,3824418,3357574.65,1.139041837833747,High,False,True
2024-10-14,5616349,3542299.9,1.5855091772438579,Very High,False,True
2024-10-15,2869640,3552938.45,0.8076807522517031,Normal,False,False
2024-10-16,2762322,3421537.1,0.8073336396089348,Normal,False,False
2024-10-17,2584896,3292643.55,0.7850518772370608,Low,False,False
2024-10-18,2175065,3214955.9,0.6765458275804033,Low,False,False
2024-10-21,2688428,3226899.15,0.8331304683011244,Normal,False,False
2024-10-22,6022016,3427139.25,1.7571553300613625,Very High,False,True
2024-10-23,3019672,3353806.9,0.9003714554943518,Normal,False,False
2024-10-24,2281798,3326820.0,0.6858796087555082,Low,False,False
2024-10-25,1843711,3251081.85,0.5671069155026042,Very Low,False,False
2024-10-28,1509996,3174709.2,0.4756328548139149,Very Low,False,False
2024-10-29,2462885,3061249.5,0.8045358602753548,Low,False,False
2024-10-30,1713550,3060636.25,0.5598672498242808,Very Low,False,False
2024-10-31,1244928,3007554.65,0.4139336254455094,Very Low,False,False
2024-11-01,2676189,3067706.2,0.872374610058812,Normal,False,False
2024-11-04,3188263,3160289.6,1.008851530568591,High,False,True
2024-11-05,1663185,3137711.35,0.5300630983790143,Very Low,False,False
2024-11-06,1805646,3096673.2,0.5830922035944897,Low,False,False
2024-11-07,3579749,2776635.3,1.2892398940545056,Very High,False,False
2024-11-08,2110766,2690952.7,0.784393571837959,Low,False,False
2024-11-11,5301235,2675197.0,1.9816241570246975,Very High,True,False
2024-11-12,2921656,2677797.8,1.0910666966714218,High,False,True
2024-11-13,3460835,2712723.45,1.2757787750166718,Very High,True,False
2024-11-14,4743684,2820662.85,1.6817621432494139,Very High,False,True
2024-11-15,6574421,3040630.65,2.1621899391167423,Very High,False,True
2024-11-18,3910975,3101758.0,1.2608897921759208,Very High,False,False
2024-11-19,7652727,3183293.55,2.404028054528619,Very High,False,True
2024-11-20,8474055,3456012.7,2.4519744965057564,Very High,True,False
2024-11-21,3183165,3501081.05,0.9091948899612021,Normal,False,False
