time,volume,volume_sma20,volume_ratio,volume_class,accumulation,distribution
2024-06-03,3193327,,,,False,False
2024-06-04,2447656,,,,False,False
2024-06-05,11876432,,,,False,False
2024-06-06,4893549,,,,False,False
2024-06-07,4131178,,,,False,False
2024-06-10,4569222,,,,False,False
2024-06-11,6181560,,,,False,False
2024-06-12,3427814,,,,False,False
2024-06-13,2807130,,,,False,False
2024-06-14,4127632,,,,False,False
2024-06-17,3621867,,,,False,False
2024-06-18,2754686,,,,False,False
2024-06-19,6160999,,,,False,False
2024-06-20,4400155,,,,False,False
2024-06-21,3970969,,,,False,False
2024-06-24,3851919,,,,False,False
2024-06-25,2436399,,,,False,False
2024-06-26,2488180,,,,False,False
2024-06-27,2710114,,,,False,False
2024-06-28,2735071,4139292.95,0.6607580166559605,Low,False,False
2024-07-01,1911478,4075200.5,0.46905127735432894,Very Low,False,False
2024-07-02,2044987,4055067.05,0.5043041150207369,Very Low,False,False
2024-07-03,1334249,3527957.9,0.378193005080928,Very Low,False,False
2024-07-04,2691198,3417840.35,0.7873972229276303,Normal,False,False
2024-07-05,4183952,3420479.05,1.223206439460578,High,True,False
2024-07-08,4946406,3439338.25,1.438185383481837,Very High,True,False
2024-07-09,5048980,3382709.25,1.4925846789817954,Very High,False,True
2024-07-10,3884733,3405555.2,1.1407047520474782,High,False,True
2024-07-11,3789635,3454680.45,1.0969567387918613,High,False,True
2024-07-12,2081812,3352389.45,0.6209934827231961,Very Low,False,False
2024-07-15,2157757,3279183.95,0.6580164555879825,Low,False,False
2024-07-16,2245463,3253722.8,0.690121174428258,Low,False,False
2024-07-17,3468308,3119088.25,1.1119621254704801,High,False,True
2024-07-18,2284658,3013313.4,0.758187980048806,Low,False,False
2024-07-19,3396038,2984566.85,1.1378662870292215,High,False,True
2024-07-22,2657788,2924860.3,0.9086888696872121,Normal,False,False
2024-07-23,3780379,2992059.3,1.2634706137007379,Very High,True,False
2024-07-24,3615591,3048429.85,1.1860502546909517,High,False,True
2024-07-25,1958885,3010868.4,0.6506046561184806,Low,False,False
2024-07-26,2976837,3022956.7,0.9847435128660625,High,False,False
2024-07-29,5785374,3216651.5,1.7985703455907487,Very High,True,False
2024-07-30,6381582,3433481.25,1.8586331292765905,Very High,True,False
2024-07-31,21167413,4425139.45,4.78344541209882,Very High,True,False
2024-08-01,8872145,4734186.8,1.8740589196860589,Very High,False,True
2024-08-02,10298482,5039913.3,2.0433847542575783,Very High,True,False
2024-08-05,12162219,5400703.95,2.2519692085695606,Very High,False,True
2024-08-06,13505235,5823516.7,2.319085819741875,Very High,True,False
2024-08-07,10709270,6164743.55,1.7371801297395413,Very High,True,False
2024-08-08,5817168,6266120.2,0.9283524436700081,Normal,False,False
2024-08-09,4530433,6388551.25,0.7091487291426205,Low,False,False
2024-08-12,5808119,6571069.35,0.8838925128677877,Normal,False,False
2024-08-13,6740336,6795813.0,0.9918365911481084,High,False,False
2024-08-14,5459112,6895353.2,0.7917088279103672,Normal,False,False
2024-08-15,4258433,6994041.95,0.6088658075606767,Very Low,False,False
2024-08-16,7396631,7194071.6,1.028156433694655,High,False,False
2024-08-19,7924678,7457416.1,1.0626573458868682,High,True,False
2024-08-20,4181936,7477493.95,0.5592697269918887,Very Low,False,False
2024-08-21,3994706,7496449.7,0.532879717714907,Very Low,False,False
2024-08-22,6031982,7700104.55,0.7833636492636974,Normal,False,False
2024-08-23,3310515,7716788.45,0.4290016528832017,Very Low,False,False
2024-08-26,6329637,7744001.6,0.8173599809173594,Normal,False,False
2024-08-27,4269971,7638421.05,0.5590122581681982,Very Low,False,False
2024-08-28,3355013,6747801.05,0.49720093629612866,Very Low,False,False
2024-08-29,2044649,6406426.25,0.31915594127068897,Very Low,False,False
2024-08-30,3679027,6075453.5,0.605555947387302,Very Low,False,False
2024-09-04,2842048,5609444.95,0.5066540496132331,Very Low,False,False
2024-09-05,5862150,5227290.7,1.121450926767857,High,True,False
2024-09-06,3645061,4874080.25,0.7478459141086157,Low,False,False
2024-09-09,2641519,4715297.8,0.5602019452514749,Very Low,False,False
2024-09-10,3335353,4655543.8,0.7164260810949733,Low,False,False
2024-09-11,3167882,4523531.95,0.7003116226469893,Low,False,False
2024-09-12,2054428,4289236.55,0.47897288388069903,Very Low,False,False
2024-09-13,5350666,4283814.25,1.2490424859107745,Very High,False,True
2024-09-16,4039871,4272886.15,0.9454665671351903,Normal,False,False
2024-09-17,2392584,4022683.8,0.5947730716493302,Very Low,False,False
2024-09-18,2847879,3768843.85,0.7556373024050863,Low,False,False
2024-09-19,1574276,3638460.85,0.4326763609398188,Very Low,False,False
2024-09-20,5234412,3700446.15,1.4145353797406295,Very High,False,True
2024-09-23,2933886,3545541.35,0.8274860480755639,Normal,False,False
2024-09-24,2080216,3484026.4,0.5970723987625353,Very Low,False,False
2024-09-25,4525095,3393799.3,1.33334195690358,Very High,False,True
2024-09-26,3987434,3379672.45,1.1798285363423309,High,True,False
2024-09-27,2971446,3360494.1,0.8842288995537888,Normal,False,False
2024-09-30,2046753,3360599.3,0.6090440475899641,Very Low,False,False
2024-10-01,2042595,3278777.7,0.6229745310272178,Very Low,False,False
2024-10-02,2142472,3243798.9,0.6604823745393095,Low,False,False
2024-10-03,2949988,3098190.8,0.9521647278792514,Normal,False,False
2024-10-04,6140641,3222969.8,1.905274135674495,Very High,False,True
2024-10-07,5995180,3390652.85,1.7681491633683466,Very High,False,True
2024-10-08,2890240,3368397.2,0.8580460760387759,Normal,False,False
2024-10-09,3532506,3386628.4,1.0430745811970394,High,False,True
2024-10-10,2625177,3415165.85,0.7686821417472302,Low,False,False
2024-10-11,2373079,3266286.5,0.72653730773464,Low,False,False
2024-10-14,2825429,3205564.4,0.8814138939152182,Normal,False,False
2024-10-15,3078240,3239847.2,0.9501188821497507,Normal,False,False
2024-10-16,2006161,3197761.3,0.6273642125820962,Very Low,False,False
2024-10-17,1658879,3201991.45,0.5180772734418139,Very Low,False,False
2024-10-18,1599576,3020249.65,0.5296171460528106,Very Low,False,False
2024-10-21,1862336,2966672.15,0.6277525475809654,Very Low,False,False
2024-10-22,2253327,2975327.7,0.7573374186648415,Low,False,False
2024-10-23,1637360,2830940.95,0.5783801318780598,Very Low,False,False
2024-10-24,4369950,2850066.75,1.5332798784449522,Very High,True,False
2024-10-25,2172351,2810112.0,0.7730478358157966,Normal,False,False
2024-10-28,2927947,2854171.7,1.0258482347085145,High,False,True
2024-10-29,2033574,2853720.65,0.7126044379992135,Low,False,False
2024-10-30,3437020,2918448.05,1.1776875726809666,High,False,True
2024-10-31,5177693,3029833.3,1.708903588854212,Very High,False,True
2024-11-01,2182658,2831934.15,0.7707304917383054,Low,False,False
2024-11-04,2121224,2638236.35,0.8040310717423024,Normal,False,False
2024-11-05,1063141,2546881.4,0.41742854614274544,Very Low,False,False
2024-11-06,2598835,2500197.85,1.0394517377894712,High,False,False
2024-11-07,1154788,2426678.4,0.47587187490522026,Very Low,False,False
2024-11-08,1597360,2387892.45,0.6689413503526928,Low,False,False
2024-11-11,2742114,2383726.7,1.1503474790125898,High,False,True
2024-11-12,1734699,2316549.65,0.7488287591850233,Low,False,False
2024-11-13,2773315,2354907.35,1.1776747819823994,High,False,False
2024-11-14,1781237,2361025.25,0.7544336935829042,Low,False,False
2024-11-15,3697005,2465896.7,1.4992538008587302,Very High,False,True
2024-11-18,3752034,2560381.6,1.4654198421047862,Very High,False,True
2024-11-19,2736295,2584530.0,1.0587205410654936,High,False,True
