,id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity
0,30,Nguyễn Thị Thanh Hòa,Giám đốc điều hành sản xuất,GĐ Điều hành sản xuất,2025-03-05,0.0005,1108184
1,31,Trần Minh Văn,Giám đốc điều hành dự án,GĐ Điều hành dự án,2025-03-05,0.0004,887236
2,24,Mai Hoài Anh,Giám đốc điều hành Kinh doanh,GĐ Điều hành kinh doanh,2022-10-31,0.000245,512511
3,14,Nguyễn Thị Như Hằng,Giám đốc điều hành Phát triển vùng nguyên vật liệu,GĐ Điều hành phát triển vùng nguyên liệu,2015-09-14,0.0002329496,279572
4,12,Nguyễn Hữu Ngọc Trân,Giám đốc điều hành Marketing,GĐ Điều hành Marketing,2015-09-14,0.0001759103,211117
5,21,Phan Minh Tiên,Giám đốc điều hành Marketing,GĐ Điều hành Marketing,2016-03-22,0.0001,115716
6,25,Trịnh Quốc Dũng,Giám đốc,GĐ,2023-08-07,0.0001,241950
7,18,Phạm Phú Tuấn,Giám đốc điều hành Kinh doanh,GĐ Điều hành kinh doanh,2015-09-14,7.06751e-05,84820
8,16,Nguyễn Trung Kiên,Trưởng Ban kiểm soát,Trưởng BKS,2015-09-14,3e-05,38880
9,15,Nguyễn Thị Tuyết Mai,Thành viên Ban kiểm soát,TV BKS,2015-09-14,2.4e-05,35000
10,28,Nguyễn Quốc Khánh,Giám đốc điều hành chuỗi cung ứng,GĐ Điều hành chuỗi cung ứng,2025-01-24,1.42e-05,29755
11,9,Ngô Thị Thu Trang,Giám đốc điều hành dự án/Thành viên Hội đồng Quản trị/Giám đốc Tài chính,GĐ Điều hành dự án/TV HĐQT/GĐ Tài chính,2015-09-14,6.5e-06,9453
12,19,Trần Bảo Minh,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,0.0,0
13,20,Wang Eng Chin,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
14,22,Nguyễn Hồng Hiển,Thành viên Hội đồng Quản trị,TV HĐQT,2017-04-18,0.0,0
15,23,Nguyễn Chí Thành,Thành viên Hội đồng Quản trị,TV HĐQT,2018-04-02,0.0,0
16,26,Dominic Timothy Charles Scriven,Thành viên Hội đồng Quản trị,TV HĐQT,2024-07-01,0.0,0
17,27,Đỗ Lê Hùng,Thành viên Hội đồng Quản trị,TV HĐQT,2024-07-31,0.0,0
18,29,Nguyễn Thị Thắm,Thành viên Hội đồng Quản trị,TV HĐQT,2025-02-03,0.0,0
19,32,Nguyễn Bá Dương,Thành viên Hội đồng Quản trị/Thành viên Hội đồng Quản trị độc lập,TV HĐQT/Thành viên HĐQT độc lập,2025-04-22,0.0,0
20,33,Vũ Trí Thức,Thành viên Ban kiểm soát,TV BKS,2025-04-28,0.0,0
21,1,Hà Văn Thắm,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
22,34,Nguyễn Đình An,Thành viên Ban kiểm soát,TV BKS,2025-05-05,0.0,0
23,2,Hoàng Nguyên Học,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
24,3,Lê Anh Minh,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
25,4,Lê Quang Thanh Trúc,Phụ trách Công bố thông tin,Phụ trách CBTT,2015-09-14,0.0,0
26,5,Lê Song Lai,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
27,6,Lê Thị Băng Tâm,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2015-09-14,0.0,0
28,7,Ng Jui Sia,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
29,8,Ngô Thanh Thảo,Trưởng Ban kiểm soát,Trưởng BKS,2015-09-14,0.0,0
30,10,Nguyễn Anh Tuấn,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.0,0
31,11,Nguyễn Đình An,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.0,0
32,13,Nguyễn Ngọc Vũ Chương,Thành viên Ban kiểm soát,TV BKS,2015-09-14,0.0,0
33,17,Pascal De Petrini,Thành viên Hội đồng Quản trị,TV HĐQT,2015-09-14,0.0,0
