,id,sub_organ_code,ownership_percent,organ_name,type
0,23047558,ANGKORDP,1.0,"Angkor Dairy Products Co., Ltd",công ty con
1,23047559,DRIFTW,1.0,Driftwood Dairy Holdings Corporation,công ty con
2,23047560,LAOJAGRO,0.8732,"Lao-jagro Development Xiengkhouang Co.,ltd",công ty con
3,23047561,TNTHCM,1.0,Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hoá,công ty con
4,23047562,VIETSUGAR,0.65,Công ty Cổ phần Đường Việt Nam,công ty con
5,23047563,VILICO,0.68937,Tổng Công ty Chăn nuôi Việt Nam - Công ty Cổ phần,công ty con
6,23047564,VNMC,1.0,Công ty TNHH MTV Bò Sữa Việt Nam,công ty con
0,23047565,APIS,0.2,Công Ty Cổ Phần Apis,công ty liên kết
1,23047566,ASIACOCONUT,0.2496,Công ty Cổ Phần Chế Biến Dừa Á Châu,công ty liên kết
2,23047567,F000001208,0.1355,Miraka Holding Limited,công ty liên kết
