,time,open,high,low,close,volume
0,2024-06-03,1283.0,1298.4,1280.7,1291.5,196207
1,2024-06-04,1292.6,1302.6,1291.2,1295.0,204490
2,2024-06-05,1301.4,1309.5,1291.0,1295.0,202210
3,2024-06-06,1295.5,1306.2,1292.1,1298.7,244921
4,2024-06-07,1306.3,1310.0,1298.2,1308.0,228346
5,2024-06-10,1313.0,1314.0,1305.2,1310.9,170460
6,2024-06-11,1314.9,1315.3,1300.3,1305.0,218672
7,2024-06-12,1302.2,1332.0,1301.4,1330.7,233683
8,2024-06-13,1331.0,1339.0,1324.9,1335.0,205010
9,2024-06-14,1333.5,1335.9,1316.5,1317.0,204010
10,2024-06-17,1315.5,1315.8,1305.3,1308.0,218205
11,2024-06-18,1312.7,1322.4,1305.7,1308.5,221266
12,2024-06-19,1309.8,1325.0,1298.8,1317.0,278065
13,2024-06-20,1317.6,1327.8,1316.7,1323.7,217494
14,2024-06-21,1322.6,1323.4,1311.7,1320.9,250436
15,2024-06-24,1314.0,1317.4,1285.5,1290.7,295592
16,2024-06-25,1293.9,1294.0,1280.1,1287.7,248091
17,2024-06-26,1288.0,1291.8,1275.0,1290.0,247917
18,2024-06-27,1285.0,1291.7,1280.8,1289.0,210340
19,2024-06-28,1291.2,1292.8,1272.5,1274.3,233786
20,2024-07-01,1277.7,1285.8,1271.7,1285.0,180350
21,2024-07-02,1284.7,1299.0,1283.5,1295.2,227913
22,2024-07-03,1297.1,1309.5,1294.5,1307.0,178940
23,2024-07-04,1307.0,1313.3,1303.5,1308.6,170552
24,2024-07-05,1308.5,1317.6,1307.2,1316.3,194337
25,2024-07-08,1317.1,1317.9,1305.6,1314.0,182373
26,2024-07-09,1316.2,1321.9,1304.5,1320.5,246307
27,2024-07-10,1318.9,1321.9,1308.8,1310.0,208591
28,2024-07-11,1316.0,1317.9,1305.5,1305.7,188486
29,2024-07-12,1304.9,1310.0,1297.0,1300.0,207770
30,2024-07-15,1302.0,1305.6,1292.7,1299.0,142879
31,2024-07-16,1301.5,1308.7,1299.1,1302.7,179097
32,2024-07-17,1309.0,1321.8,1294.7,1303.2,271812
33,2024-07-18,1303.1,1305.0,1287.9,1297.5,208453
34,2024-07-19,1304.6,1311.2,1295.3,1297.1,225170
35,2024-07-22,1291.3,1304.4,1291.3,1300.0,271467
36,2024-07-23,1301.5,1303.7,1280.1,1284.2,213270
37,2024-07-24,1283.3,1287.4,1273.3,1283.5,251117
38,2024-07-25,1276.9,1278.9,1270.7,1276.6,207819
39,2024-07-26,1278.7,1285.2,1276.8,1285.0,164429
40,2024-07-29,1289.9,1294.7,1287.8,1287.8,137191
41,2024-07-30,1286.1,1292.4,1284.2,1292.4,174782
42,2024-07-31,1292.0,1304.7,1291.1,1304.3,204705
43,2024-08-01,1305.5,1306.2,1271.0,1275.0,254539
44,2024-08-02,1266.2,1277.5,1256.3,1275.9,271372
45,2024-08-05,1256.8,1262.8,1226.0,1233.0,366001
46,2024-08-06,1244.7,1256.0,1237.2,1249.6,276324
47,2024-08-07,1252.3,1255.5,1245.7,1250.0,240957
48,2024-08-08,1248.4,1251.3,1237.4,1240.1,259864
49,2024-08-09,1249.1,1266.9,1247.7,1264.9,245888
50,2024-08-12,1262.5,1271.0,1258.7,1270.0,226622
51,2024-08-13,1269.0,1270.1,1262.1,1267.0,197966
52,2024-08-14,1270.9,1273.7,1268.0,1268.0,178968
53,2024-08-15,1268.0,1269.7,1263.4,1267.7,113347
54,2024-08-16,1271.5,1289.9,1268.2,1288.0,226539
55,2024-08-19,1284.2,1300.6,1284.0,1298.0,193822
56,2024-08-20,1301.6,1308.8,1298.3,1302.0,199742
57,2024-08-21,1300.8,1314.5,1297.2,1312.4,222658
58,2024-08-22,1312.7,1316.7,1310.3,1314.2,187742
59,2024-08-23,1311.6,1319.0,1310.1,1315.3,182558
60,2024-08-26,1320.8,1323.1,1316.2,1317.0,152481
61,2024-08-27,1316.9,1324.0,1315.2,1321.8,156114
62,2024-08-28,1320.6,1324.6,1317.0,1322.1,166949
63,2024-08-29,1321.1,1330.1,1320.6,1326.8,165014
64,2024-08-30,1328.4,1334.9,1328.0,1332.7,123414
65,2024-09-04,1320.8,1321.5,1307.3,1314.0,174577
66,2024-09-05,1316.1,1318.6,1304.7,1307.7,168484
67,2024-09-06,1307.6,1311.3,1305.6,1309.0,150932
68,2024-09-09,1299.2,1308.9,1298.6,1307.7,154640
69,2024-09-10,1310.8,1313.6,1289.4,1294.1,201089
70,2024-09-11,1294.5,1297.3,1286.6,1293.0,203153
71,2024-09-12,1300.0,1303.1,1297.5,1297.5,161493
72,2024-09-13,1299.8,1300.1,1291.4,1294.1,193826
73,2024-09-16,1297.0,1297.4,1282.0,1282.0,168579
74,2024-09-17,1283.0,1307.0,1282.2,1305.8,184839
75,2024-09-18,1305.0,1318.5,1303.2,1311.9,217794
76,2024-09-19,1314.0,1320.0,1312.6,1316.9,120978
77,2024-09-20,1329.7,1338.3,1327.7,1330.0,176360
78,2024-09-23,1331.0,1332.5,1324.8,1325.5,129997
79,2024-09-24,1326.0,1335.1,1322.2,1335.0,165206
80,2024-09-25,1337.3,1349.9,1336.9,1344.0,182000
81,2024-09-26,1345.9,1366.5,1345.2,1356.4,224845
82,2024-09-27,1358.1,1363.7,1350.9,1355.5,223803
83,2024-09-30,1352.3,1357.5,1349.8,1357.0,142672
84,2024-10-01,1361.5,1374.4,1360.0,1360.0,196465
85,2024-10-02,1354.0,1361.3,1351.8,1357.1,183317
86,2024-10-03,1360.2,1376.9,1349.0,1349.0,299348
87,2024-10-04,1351.7,1352.4,1343.0,1343.0,205863
88,2024-10-07,1347.5,1349.4,1332.0,1340.0,203511
89,2024-10-08,1340.0,1349.4,1336.7,1341.7,224012
90,2024-10-09,1344.1,1358.5,1342.4,1358.3,212669
91,2024-10-10,1363.2,1373.4,1362.4,1366.2,209063
92,2024-10-11,1365.9,1368.0,1358.5,1366.6,171571
93,2024-10-14,1375.6,1376.8,1358.0,1359.0,210937
94,2024-10-15,1360.1,1369.6,1354.5,1358.0,232945
95,2024-10-16,1355.7,1359.4,1352.2,1354.6,172569
96,2024-10-17,1358.0,1361.5,1347.4,1358.3,162811
97,2024-10-18,1374.6,1377.9,1363.8,1365.9,257597
98,2024-10-21,1364.0,1369.9,1362.5,1363.9,165731
99,2024-10-22,1360.0,1363.3,1350.0,1352.2,195827
100,2024-10-23,1353.0,1355.4,1345.1,1354.0,210171
101,2024-10-24,1352.5,1354.1,1336.1,1338.0,233341
102,2024-10-25,1338.5,1339.8,1326.0,1327.2,226084
103,2024-10-28,1330.0,1332.4,1327.2,1332.0,130507
104,2024-10-29,1334.0,1341.0,1334.0,1339.4,164121
105,2024-10-30,1341.6,1342.7,1331.5,1342.0,186935
106,2024-10-31,1339.0,1347.8,1333.7,1343.5,202412
107,2024-11-01,1340.4,1340.4,1326.1,1330.4,215897
108,2024-11-04,1332.8,1332.8,1317.1,1318.5,213933
109,2024-11-05,1319.3,1324.0,1317.4,1319.0,142162
110,2024-11-06,1325.0,1341.8,1324.0,1341.0,214890
111,2024-11-07,1342.0,1343.6,1333.5,1334.7,190000
112,2024-11-08,1337.5,1340.3,1318.3,1324.0,220730
113,2024-11-11,1323.6,1324.0,1306.1,1320.1,233948
114,2024-11-12,1321.1,1323.5,1302.7,1310.0,246958
115,2024-11-13,1305.7,1313.1,1298.2,1307.3,265510
116,2024-11-14,1306.0,1309.9,1292.9,1292.9,251563
117,2024-11-15,1292.7,1292.7,1275.1,1275.6,253504
118,2024-11-18,1271.5,1280.3,1261.8,1273.2,245512
119,2024-11-19,1272.4,1274.8,1262.2,1262.3,265393
120,2024-11-20,1260.8,1280.0,1253.5,1270.0,322061
121,2024-11-21,1267.8,1283.4,1264.6,1281.3,215891
122,2024-11-22,1294.7,1301.8,1291.3,1298.0,236753
123,2024-11-25,1298.6,1300.9,1294.3,1298.4,178667
124,2024-11-26,1298.6,1311.9,1296.0,1307.0,196395
125,2024-11-27,1307.6,1309.0,1304.2,1307.8,143160
126,2024-11-28,1310.1,1318.7,1304.8,1305.5,199664
127,2024-11-29,1305.0,1318.5,1304.3,1318.0,207782
128,2024-12-02,1322.6,1323.6,1309.3,1313.5,149799
129,2024-12-03,1315.9,1318.3,1305.4,1314.0,223575
130,2024-12-04,1312.4,1312.8,1302.8,1303.0,208588
131,2024-12-05,1303.8,1346.0,1302.2,1345.0,297674
132,2024-12-06,1342.6,1348.9,1340.6,1342.0,184613
133,2024-12-09,1342.0,1351.3,1336.0,1339.9,168276
134,2024-12-10,1339.9,1345.5,1336.6,1343.0,179171
135,2024-12-11,1340.6,1347.7,1333.2,1338.6,186349
136,2024-12-12,1341.0,1351.4,1337.1,1339.5,216591
137,2024-12-13,1336.0,1339.1,1330.1,1335.0,193475
138,2024-12-16,1333.0,1338.3,1327.6,1335.0,167520
139,2024-12-17,1336.6,1336.6,1326.5,1331.0,175869
140,2024-12-18,1328.7,1335.0,1328.7,1331.0,142102
141,2024-12-19,1315.3,1322.0,1309.8,1312.3,171914
142,2024-12-20,1316.5,1321.5,1314.5,1321.2,136674
143,2024-12-23,1325.8,1331.3,1325.7,1328.0,112685
144,2024-12-24,1325.5,1328.4,1321.7,1328.0,130166
145,2024-12-25,1333.6,1355.6,1332.0,1350.1,215245
146,2024-12-26,1350.9,1351.2,1347.2,1350.7,114675
147,2024-12-27,1352.9,1357.5,1344.0,1348.5,122641
148,2024-12-30,1346.8,1347.4,1342.0,1345.2,94948
149,2024-12-31,1344.9,1352.1,1342.0,1345.5,135212
150,2025-01-02,1347.5,1351.2,1336.6,1346.9,153177
151,2025-01-03,1345.8,1345.8,1323.1,1324.0,172932
152,2025-01-06,1324.0,1331.0,1318.8,1318.9,148400
153,2025-01-07,1319.0,1328.0,1315.7,1318.4,174014
154,2025-01-08,1318.4,1322.9,1311.2,1322.5,186377
155,2025-01-09,1323.0,1324.9,1310.1,1314.5,186134
156,2025-01-10,1316.7,1317.2,1290.1,1295.6,202986
157,2025-01-13,1287.6,1299.5,1286.3,1299.5,181090
158,2025-01-14,1301.5,1301.5,1285.5,1291.2,191279
159,2025-01-15,1293.9,1302.4,1291.2,1296.6,201483
160,2025-01-16,1304.5,1309.7,1294.9,1295.1,162714
161,2025-01-17,1308.9,1321.0,1307.7,1320.8,183914
162,2025-01-20,1319.9,1326.9,1319.2,1324.5,139833
163,2025-01-21,1324.7,1333.2,1316.6,1322.8,181676
164,2025-01-22,1327.9,1328.7,1319.0,1320.5,186092
165,2025-01-23,1321.3,1347.7,1321.0,1339.0,234042
166,2025-01-24,1340.1,1346.4,1337.5,1343.9,156520
167,2025-02-03,1331.0,1332.0,1313.5,1318.0,177185
168,2025-02-04,1325.5,1331.0,1320.6,1328.5,172016
169,2025-02-05,1331.6,1337.8,1329.6,1333.5,160904
170,2025-02-06,1335.6,1344.9,1335.6,1339.9,158566
171,2025-02-07,1338.5,1347.4,1335.0,1343.3,170155
172,2025-02-10,1333.4,1337.6,1325.2,1330.5,185266
173,2025-02-11,1332.5,1334.1,1327.6,1334.1,143632
174,2025-02-12,1337.4,1342.0,1329.5,1329.5,139180
175,2025-02-13,1331.9,1338.5,1326.2,1337.5,181417
176,2025-02-14,1345.2,1350.4,1340.3,1341.8,163646
177,2025-02-17,1342.0,1342.1,1335.3,1335.3,120605
178,2025-02-18,1335.3,1348.3,1331.5,1338.9,202864
179,2025-02-19,1337.3,1347.1,1335.4,1344.5,177765
180,2025-02-20,1344.7,1352.8,1344.7,1350.0,126860
181,2025-02-21,1345.0,1356.2,1344.7,1353.8,166983
182,2025-02-24,1350.1,1366.8,1350.1,1366.3,170128
183,2025-02-25,1367.0,1367.0,1358.0,1359.8,157253
184,2025-02-26,1362.5,1363.7,1359.2,1361.9,121657
185,2025-02-27,1363.5,1364.0,1350.8,1364.0,170339
186,2025-02-28,1358.0,1360.9,1346.8,1357.0,203877
187,2025-03-03,1362.6,1365.6,1356.2,1361.0,158067
188,2025-03-04,1355.7,1369.0,1351.5,1367.0,200190
189,2025-03-05,1365.0,1374.0,1364.6,1365.2,168137
190,2025-03-06,1367.0,1376.9,1367.0,1375.4,190645
191,2025-03-07,1374.5,1386.7,1373.3,1385.2,178116
192,2025-03-10,1386.8,1394.5,1385.6,1389.4,149946
193,2025-03-11,1379.0,1392.0,1375.8,1392.0,189794
194,2025-03-12,1394.4,1395.5,1387.2,1388.5,173729
195,2025-03-13,1390.0,1393.4,1384.3,1385.5,201319
196,2025-03-14,1383.5,1393.8,1382.2,1385.0,193169
197,2025-03-17,1387.1,1391.7,1386.1,1390.3,129550
198,2025-03-18,1394.0,1395.2,1385.6,1387.5,136687
199,2025-03-19,1385.9,1385.9,1376.7,1377.0,170296
200,2025-03-20,1378.5,1382.9,1371.5,1376.5,168737
201,2025-03-21,1375.0,1376.4,1370.2,1373.9,140468
202,2025-03-24,1376.0,1390.0,1367.7,1390.0,205980
203,2025-03-25,1391.2,1392.3,1384.2,1386.7,163716
204,2025-03-26,1387.9,1393.2,1376.0,1376.9,209392
205,2025-03-27,1375.0,1380.1,1373.9,1374.8,170429
206,2025-03-28,1374.4,1376.0,1365.1,1365.1,169888
207,2025-03-31,1357.0,1360.2,1355.1,1360.0,133610
208,2025-04-01,1362.2,1367.5,1359.1,1366.0,130446
209,2025-04-02,1367.2,1375.0,1367.2,1371.6,139222
210,2025-04-03,1347.0,1347.0,1275.6,1275.6,317691
211,2025-04-04,1252.5,1272.0,1220.0,1267.1,430454
212,2025-04-08,1244.0,1247.0,1178.5,1178.5,378696
213,2025-04-09,1115.5,1217.0,1115.0,1178.0,580281
214,2025-04-10,1260.4,1260.4,1253.5,1260.4,48891
215,2025-04-11,1279.7,1309.2,1263.6,1307.0,334703
216,2025-04-14,1313.8,1320.3,1306.0,1317.0,215798
