,id,news_title,news_sub_title,friendly_sub_title,news_image_url,news_source_link,created_at,public_date,updated_at,lang_code,news_id,news_short_content,news_full_content,close_price,ref_price,floor,ceiling,price_change_pct
0,7601826,VNM: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ F&N Diary Investments PTE.LTD,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16303470672950700_VNM.png,https://www.hsx.vn/vi/tin-tuc/vnm-bao-cao-ket-qua-giao-dich-co-phieu-cua-to-chuc-co-lien-quan-den-nguoi-noi-bo-fn-diary-investments-pte.ltd/2377150,,1748361288000,,vi,11589960,,"<p>F&N Diary Investments PTE.LTD báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Công ty Cổ phần Sữa Việt Nam như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-27/VNM/20250527--VNM--Bao-cao-ket-qua-giao-dich-co-phieu-cua-to-chuc-co-lien-quan-den-nguoi-noi-bo-FN-HSX.pdf"" title=""Tải về"" download>20250527--VNM--Bao-cao-ket-qua-giao-dich-co-phieu-cua-to-chuc-co-lien-quan-den-nguoi-noi-bo-FN-HSX.pdf</a></td></tr></table>",55400,55700,51900,59500,-0.005386
1,7601827,VNM: Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ F&N Diary Investments PTE.LTD,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16303470672950700_VNM.png,https://www.hsx.vn/vi/tin-tuc/vnm-thong-bao-giao-dich-co-phieu-cua-to-chuc-co-lien-quan-den-nguoi-noi-bo-fn-diary-investments-pte.ltd/2377149,,1748361240000,,vi,11589961,,"<p>F&N Diary Investments PTE.LTD thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Công ty Cổ phần Sữa Việt Nam như sau:</p>

<table style=""text-align: left;border=0"" width=""100%"">
	<tbody>
		<tr>
			<td colspan=""2"">
			<hr /></td>
		</tr>
		<tr>
			<td colspan=""2"">Tài liệu đính kèm</td>
		</tr>
		<tr>
			<td> </td>
			<td><a download="""" href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-27/VNM/20250527--VNM--Thong-bao-giao-dich-co-phieu-cua-to-chuc-co-lien-quan-den-nguoi-noi-bo-FN-Diary-Investment-HSX.pdf"" title=""Tải về"">20250527--VNM--Thong-bao-giao-dich-co-phieu-cua-to-chuc-co-lien-quan-den-nguoi-noi-bo-FN-Diary-Investment-HSX.pdf</a></td>
		</tr>
	</tbody>
</table>
",55400,55700,51900,59500,-0.005386
2,7561277,VNM: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến Người nội bộ Platinum Victory Pte. Ltd.,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16303470672950700_VNM.png,https://www.hsx.vn/vi/tin-tuc/vnm-bao-cao-ket-qua-giao-dich-co-phieu-cua-to-chuc-co-lien-quan-den-nguoi-noi-bo-platinum-victory-pte.-ltd./2375968,,1747846392000,,vi,11587568,,"<p>Platinum Victory Pte. Ltd. báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến Người nội bộ Công ty Cổ phần Sữa Việt Nam như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-21/VNM/20250521--VNM--KQGD-cp-co-dong-lien-quan--Platinum-ban-che-thong-tin.pdf"" title=""Tải về"" download>20250521--VNM--KQGD-cp-co-dong-lien-quan--Platinum-ban-che-thong-tin.pdf</a></td></tr></table>",55400,55900,52000,59800,-0.00894454
3,7561276,VNM: Thông báo giao dịch cổ phiếu của tổ chức có liên quan của Người nội bộ Platinum Victory Pte. Ltd.,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16303470672950700_VNM.png,https://www.hsx.vn/vi/tin-tuc/vnm-thong-bao-giao-dich-co-phieu-cua-to-chuc-co-lien-quan-cua-nguoi-noi-bo-platinum-victory-pte.-ltd./2375964,,1747846320000,,vi,11587567,,"<p>Platinum Victory Pte. Ltd. thông báo giao dịch cổ phiếu của tổ chức có liên quan của Người nội bộ Công ty Cổ phần Sữa Việt Nam như sau:</p>

<table style=""text-align: left;border=0"" width=""100%"">
	<tbody>
		<tr>
			<td colspan=""2"">
			<hr /></td>
		</tr>
		<tr>
			<td colspan=""2"">Tài liệu đính kèm</td>
		</tr>
		<tr>
			<td> </td>
			<td><a download="""" href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-21/VNM/20250521--VNM--Thong-bao-giao-dich-cp-co-dong-lien-quan--Platinum-ban-che-thong-tin.pdf"" title=""Tải về"">20250521--VNM--Thong-bao-giao-dich-cp-co-dong-lien-quan--Platinum-ban-che-thong-tin.pdf</a></td>
		</tr>
	</tbody>
</table>
",55400,55900,52000,59800,-0.00894454
4,7561233,VNM: Thông báo lựa chọn đơn vị kiểm toán độc lập cho năm 2025,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16303470672950700_VNM.png,https://www.hsx.vn/vi/tin-tuc/vnm-thong-bao-lua-chon-don-vi-kiem-toan-doc-lap-cho-nam-2025/2375926,,1747842625000,,vi,11587501,,"<p>Công ty Cổ phần Sữa Việt Nam thông báo lựa chọn đơn vị kiểm toán độc lập cho năm 2025 như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-21/VNM/20250521--VNM--Lua-chon-don-vi-kiem-toan-doc-lap-nam-2025.pdf"" title=""Tải về"" download>20250521--VNM--Lua-chon-don-vi-kiem-toan-doc-lap-nam-2025.pdf</a></td></tr></table>",55400,55900,52000,59800,-0.00894454
5,7490198,VNM: Điều lệ công ty cập nhật,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16303470672950700_VNM.png,https://www.hsx.vn/vi/tin-tuc/vnm-dieu-le-cong-ty-cap-nhat/2373682,,1747066339000,,vi,11569997,,"<p>Công ty Cổ phần Sữa Việt Nam thông báo Điều lệ công ty cập nhật như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-12/VNM/20250509--VNM--Dieu-le-cong-ty-cap-nhat-nam-2025.pdf"" title=""Tải về"" download>20250509--VNM--Dieu-le-cong-ty-cap-nhat-nam-2025.pdf</a></td></tr></table>",58600,57700,53700,61700,0.01559792
6,7461419,VNM: Thông báo về ngày đăng ký cuối cùng chi trả (lần 1) cổ tức còn lại của năm 2024 bằng tiền mặt,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16303470672950700_VNM.png,https://www.hsx.vn/vi/tin-tuc/vnm-thong-bao-ve-ngay-dang-ky-cuoi-cung-chi-tra-lan-1-co-tuc-con-lai-cua-nam-2024-bang-tien-mat/2372879,,1746701677000,,vi,11565981,,"<p>Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo về ngày đăng ký cuối cùng chi trả (lần 1) cổ tức còn lại của năm 2024 bằng tiền mặt của Công ty Cổ phần Sữa Việt Nam như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-08/VNM/20250508---VNM---Thong-bao-so-826-ve-ngay-dang-ky-cuoi-cung-tra-co-tuc.pdf"" title=""Tải về"" download>20250508---VNM---Thong-bao-so-826-ve-ngay-dang-ky-cuoi-cung-tra-co-tuc.pdf</a></td></tr></table>",57400,57200,53200,61200,0.0034965
7,7452947,VNM: Phân công nhiệm vụ Thành viên HĐQT,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16303470672950700_VNM.png,https://www.hsx.vn/vi/tin-tuc/vnm-phan-cong-nhiem-vu-thanh-vien-hdqt/2372539,,1746546660000,,vi,11564791,,"<p>Công ty Cổ phần Sữa Việt Nam thông báo phân công nhiệm vụ Thành viên HĐQT như sau:</p>

<table style=""text-align: left;border=0"" width=""100%"">
	<tbody>
		<tr>
			<td colspan=""2"">
			<hr /></td>
		</tr>
		<tr>
			<td colspan=""2"">Tài liệu đính kèm</td>
		</tr>
		<tr>
			<td> </td>
			<td><a download="""" href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-06/VNM/20250506---VNM---Phan-cong-TV-UB-HDQT---Assign-Board-committee-members.pdf"" title=""Tải về"">20250506---VNM---Phan-cong-TV-UB-HDQT---Assign-Board-committee-members.pdf</a></td>
		</tr>
	</tbody>
</table>
",56900,56900,53000,60800,0.0
8,7424280,VNM: Thông báo thay đổi nhân sự HĐQT,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16303470672950700_VNM.png,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=606cc48d-6dec-456c-843d-77ae3f71bbd9,,1745949360000,,vi,11559663,,"<p>Công ty Cổ phần Sữa Việt Nam thông báo thay đổi nhân sự HĐQT  như sau: </p>

<table style=""text-align: left;border=0"" width=""100%"">
	<tbody>
		<tr>
			<td colspan=""2"">
			<hr /></td>
		</tr>
		<tr>
			<td colspan=""2"">Tài liệu đính kèm</td>
		</tr>
		<tr>
			<td> </td>
			<td><a download="""" href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-29/20250429_20250425-VNM-Thong-bao-thay-doi-TV-HDQT-Change-in-BOD-members.pdf"" title=""Tải về"">20250429_20250425-VNM-Thong-bao-thay-doi-TV-HDQT-Change-in-BOD-members.pdf</a></td>
		</tr>
	</tbody>
</table>
",57600,57500,53500,61500,0.00173913
9,7438068,VNM: Giải trình lợi nhuận sau thuế quý 1/2025 so với quý 1/2024,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16303470672950700_VNM.png,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=97733986-5174-46fd-8292-35e96d39820d,,1745947980000,,vi,11559602,,"<p>Công ty Cổ phần Sữa Việt Nam thông báo giải trình lợi nhuận sau thuế quý 1/2025 so với quý 1/2024 như sau: </p>

<table style=""text-align: left;border=0"" width=""100%"">
	<tbody>
		<tr>
			<td colspan=""2"">
			<hr /></td>
		</tr>
		<tr>
			<td colspan=""2"">Tài liệu đính kèm</td>
		</tr>
		<tr>
			<td> </td>
			<td>
			<p><a download="""" href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-29/20250429_20250429-VNM-GIAI-TRINH-BCTC-HN-Q1.2025.pdf"" title=""Tải về"">20250429_20250429-VNM-GIAI-TRINH-BCTC-HN-Q1.2025.pdf</a></p>

			<p>Báo cáo tài chính quý 1/2025 (<a href=""https://cdn.fiingroup.vn/medialib/11335/F/2025/05/05/08570425932660700_VNM_BCTC_Q1_2025_RL_KT.pdf"">riêng lẻ </a>+ <a href=""https://cdn.fiingroup.vn/medialib/11335/F/2025/05/05/08565428205370700_VNM_BCTC_Q1_2025_HN_KT.pdf"">hợp nhất</a>)</p>
			</td>
		</tr>
	</tbody>
</table>
",57600,57500,53500,61500,0.00173913
