Index,Direction_Accuracy,MSE
10,0.4,0.0015434831601103482
11,0.4,0.0015434156629270533
12,0.4,0.0009827856826813864
13,0.5,0.00042452350290132025
14,0.4,0.00027374097547674026
15,0.4,0.00030229912556936243
16,0.5,0.0002858907095929481
17,0.6,0.00018511621312342904
18,0.7,0.00016985722331496655
19,0.7,0.0001774432047568894
20,0.7,0.00017570255612935987
21,0.6,0.00017818552192565843
22,0.7,0.00016151963077392576
23,0.7,0.0001810413259377997
24,0.8,0.00017589511483983038
25,0.7,7.044867476553079e-05
26,0.6,7.976913336418532e-05
27,0.5,8.09182073269997e-05
28,0.5,6.950330973940276e-05
29,0.5,5.952691209545316e-05
30,0.4,7.15063209542609e-05
31,0.4,7.65962207950943e-05
32,0.4,7.781253338164433e-05
33,0.3,6.692433375551632e-05
34,0.2,7.025551012578639e-05
35,0.2,7.440323870723346e-05
